time,EXTIN,INFLOW,FROMMVR,GWF,OUTFLOW,EXTOUT,TOMVR
12789600.00000,185.0000000,1015.932692,225.0190816,6.177755443,-1015.932692,-196.7326794,-207.1086468
12964800.00000,185.0000000,1015.929287,225.0135074,6.175907321,-1015.929287,-196.7303935,-207.1072066
13140000.00000,185.0000000,1015.925561,225.0077181,6.174296353,-1015.925561,-196.7276876,-207.1057342
13315200.00000,185.0000000,1015.921935,225.3783559,6.173469135,-1015.921935,-197.1005847,-207.1043021
13490400.00000,185.0000000,1015.918455,225.3737827,6.172204437,-1015.918455,-197.0986598,-207.1029185
13665600.00000,185.0000000,1015.921511,225.3726424,6.164713507,-1015.921511,-197.1063472,-207.1015817
13840800.00000,185.0000000,1015.930117,225.3744310,6.151968144,-1015.930117,-197.1221734,-207.1002895
14016000.00000,185.0000000,1015.937994,225.3760172,6.140210881,-1015.937994,-197.1367677,-207.0990386
14191200.00000,185.0000000,1015.945202,225.3773971,6.129359599,-1015.945202,-197.1502110,-207.0978265
14366400.00000,185.0000000,1015.951787,225.3785808,6.119348001,-1015.951787,-197.1625823,-207.0966505
14541600.00000,185.0000000,1015.957792,225.3795803,6.110114500,-1015.957792,-197.1739575,-207.0955082
14716800.00000,185.0000000,1015.963198,225.3803797,6.101661088,-1015.963198,-197.1843212,-207.0943974
14892000.00000,185.0000000,1015.968145,225.3810356,6.093834187,-1015.968145,-197.1938853,-207.0933162
15067200.00000,185.0000000,1015.972628,225.3815424,6.086623806,-1015.972628,-197.2026560,-207.0922626
15242400.00000,185.0000000,1015.976681,225.3819103,6.079984669,-1015.976681,-197.2106907,-207.0912350
15417600.00000,185.0000000,1015.980436,225.3822388,6.073791494,-1015.980436,-197.2182046,-207.0902427
15592800.00000,185.0000000,1015.983989,225.3828728,6.068067848,-1015.983989,-197.2254417,-207.0893633
15768000.00000,185.0000000,1015.987440,225.3836940,6.062721738,-1015.987440,-197.2323671,-207.0886052
15943200.00000,185.0000000,1015.990609,224.4576517,6.056257349,-1015.990609,-196.3134630,-207.0879313
16118400.00000,185.0000000,1015.989797,224.4561926,6.055287329,-1015.989797,-196.3134828,-207.0874224
16293600.00000,185.0000000,1015.977696,224.4495040,6.065593667,-1015.977696,-196.2966040,-207.0873063
16468800.00000,185.0000000,1015.962747,224.4417679,6.078852488,-1015.962747,-196.2753049,-207.0876106
16644000.00000,185.0000000,1015.947268,224.4342274,6.092857009,-1015.947268,-196.2530033,-207.0883672
16819200.00000,185.0000000,1015.933140,224.4281286,6.105696391,-1015.933140,-196.2325537,-207.0898785
16994400.00000,185.0000000,1015.919970,224.4230724,6.117808839,-1015.919970,-196.2131116,-207.0921519
17169600.00000,185.0000000,1015.908388,224.4192803,6.128601335,-1015.908388,-196.1955271,-207.0951518
17344800.00000,185.0000000,1015.898696,224.4184419,6.137916475,-1015.898696,-196.1816817,-207.0988437
17520000.00000,185.0000000,1015.891070,224.4203416,6.145683227,-1015.891070,-196.1714675,-207.1031908
17695200.00000,185.0000000,1015.885416,224.4238458,6.152064074,-1015.885416,-196.1637018,-207.1080799
17870400.00000,185.0000000,1015.881629,224.4287392,6.157159187,-1015.881629,-196.1581213,-207.1134586
18045600.00000,185.0000000,1015.879615,224.4349412,6.160957455,-1015.879615,-196.1546013,-207.1193825
18220800.00000,185.0000000,1015.879257,224.4423286,6.163552032,-1015.879257,-196.1529786,-207.1257980
18396000.00000,185.0000000,1015.880382,224.4506751,6.165086498,-1015.880382,-196.1529931,-207.1325955
18571200.00000,185.0000000,1015.882981,224.5103474,6.165829172,-1015.882981,-196.2048793,-207.1396389
18746400.00000,185.0000000,1015.886895,224.5208499,6.165767821,-1015.886895,-196.2082691,-207.1468129
18921600.00000,185.0000000,1015.891912,224.5319085,6.165135230,-1015.891912,-196.2127650,-207.1540082
19096800.00000,185.0000000,1015.897830,224.5432493,6.164055765,-1015.897830,-196.2180292,-207.1611644
19272000.00000,185.0000000,1015.904461,224.5547455,6.162670739,-1015.904461,-196.2238798,-207.1681950
19447200.00000,185.0000000,1015.912013,224.5677399,6.160839500,-1015.912013,-196.2316106,-207.1752898
19622400.00000,185.0000000,1015.921143,224.5823878,6.157702662,-1015.921143,-196.2418581,-207.1828271
19797600.00000,185.0000000,1015.932354,224.6003561,6.153511882,-1015.932354,-196.2558938,-207.1909504
19972800.00000,185.0000000,1015.956001,224.6367143,6.084260391,-1015.956001,-196.2885946,-207.2638593
20148000.00000,185.0000000,1015.994744,224.7061915,6.022515814,-1015.994744,-196.3551633,-207.3285125
20323200.00000,185.0000000,1016.047037,224.7958536,5.967489159,-1016.047037,-196.4428427,-207.3855218
20498400.00000,185.0000000,1016.109830,224.8931767,5.917887673,-1016.109830,-196.5390227,-207.4362663
20673600.00000,185.0000000,1016.180916,224.9953381,5.869646147,-1016.180916,-196.6407417,-207.4849502
20848800.00000,185.0000000,1016.257914,225.0996054,5.829253743,-1016.257914,-196.7455995,-207.5247521
21024000.00000,185.0000000,1016.339523,225.2047339,5.791090198,-1016.339523,-196.8527772,-207.5608665
21199200.00000,185.0000000,1016.423577,225.2598658,5.753693828,-1016.423577,-196.9104626,-207.5957093
21374400.00000,185.0000000,1016.508898,225.3636982,5.717426531,-1016.508898,-197.0171298,-207.6291419
21549600.00000,185.0000000,1016.594059,225.4647662,5.686054003,-1016.594059,-197.1213275,-207.6573847
21724800.00000,185.0000000,1016.677851,225.5620520,5.660083201,-1016.677851,-197.2219670,-207.6800018
21900000.00000,185.0000000,1016.760086,225.6565582,5.634622752,-1016.760086,-197.3199813,-207.7019541
22075200.00000,185.0000000,1016.840773,225.7490484,5.609675887,-1016.840773,-197.4161165,-207.7232560
22250400.00000,185.0000000,1016.919684,225.8387402,5.585295881,-1016.919684,-197.5095630,-207.7438813
22425600.00000,185.0000000,1016.997286,225.9315115,5.561525713,-1016.997286,-197.6062766,-207.7637091
22600800.00000,185.0000000,1017.073184,226.0208085,5.538444756,-1017.073184,-197.6996502,-207.7827135
22776000.00000,185.0000000,1017.146562,226.1052555,5.519920501,-1017.146562,-197.7881953,-207.7971397
22951200.00000,185.0000000,1017.216591,226.1849755,5.505411923,-1017.216591,-197.8716152,-207.8079483
23126400.00000,185.0000000,1017.283889,226.2611583,5.491437900,-1017.283889,-197.9509720,-207.8187484
23301600.00000,185.0000000,1017.349107,226.3346588,5.477876528,-1017.349107,-198.0270556,-207.8297267
23476800.00000,185.0000000,1017.412401,226.4052710,5.464555245,-1017.412401,-198.0999191,-207.8407966
23652000.00000,185.0000000,1017.473693,226.4722113,5.451380004,-1017.473693,-198.1689756,-207.8518557
23827200.00000,185.0000000,1017.532853,226.5104377,5.438394652,-1017.532853,-198.2092014,-207.8628417
24002400.00000,185.0000000,1017.589665,226.5695133,5.425773766,-1017.589665,-198.2700443,-207.8736952
24177600.00000,185.0000000,1017.644324,226.6261473,5.413467509,-1017.644324,-198.3282609,-207.8844188
24352800.00000,185.0000000,1017.697067,226.6813845,5.401421384,-1017.697067,-198.3850218,-207.8949413
24528000.00000,185.0000000,1017.748042,226.7346780,5.389674867,-1017.748042,-198.4397591,-207.9052440
24703200.00000,185.0000000,1017.797361,226.7859581,5.378223053,-1017.797361,-198.4923901,-207.9153450
24878400.00000,185.0000000,1017.844816,226.8350801,5.369834229,-1017.844816,-198.5427682,-207.9224776
25053600.00000,185.0000000,1017.890313,226.8820041,5.363886108,-1017.890313,-198.5908569,-207.9272611
25228800.00000,185.0000000,1017.934068,226.9284201,5.357848673,-1017.934068,-198.6383501,-207.9322213
25404000.00000,185.0000000,1017.976256,226.9744482,5.351730496,-1017.976256,-198.6853746,-207.9373431
25579200.00000,185.0000000,1018.016910,227.0184789,5.345637392,-1018.016910,-198.7302480,-207.9425936
25754400.00000,185.0000000,1018.055777,227.0596103,5.339838435,-1018.055777,-198.7718634,-207.9479085
25929600.00000,185.0000000,1018.092932,227.0985411,5.334315508,-1018.092932,-198.8109715,-207.9532541
26104800.00000,185.0000000,1018.128292,227.1349806,5.329045612,-1018.128292,-198.8473833,-207.9585517
26280000.00000,185.0000000,1018.161796,227.1685680,5.323933392,-1018.161796,-198.8809160,-207.9637186
26455200.00000,185.0000000,1018.192806,227.1728659,5.319028098,-1018.192806,-198.8852222,-207.9686156
26630400.00000,185.0000000,1018.221350,227.1990422,5.314432545,-1018.221350,-198.9113796,-207.9732300
26805600.00000,185.0000000,1018.247624,227.2228292,5.310101687,-1018.247624,-198.9351516,-207.9775759
26980800.00000,185.0000000,1018.271808,227.2444533,5.306036837,-1018.271808,-198.9567498,-207.9816666
27156000.00000,185.0000000,1018.294082,227.2641885,5.302225875,-1018.294082,-198.9764478,-207.9855148
27331200.00000,185.0000000,1018.314606,227.2822033,5.298658918,-1018.314606,-198.9944121,-207.9891323
27506400.00000,185.0000000,1018.333514,227.2985018,5.295328832,-1018.333514,-199.0106439,-207.9925290
27681600.00000,185.0000000,1018.350918,227.3127449,5.292228730,-1018.350918,-199.0248013,-207.9957148
27856800.00000,185.0000000,1018.366927,227.3256232,5.289352112,-1018.366927,-199.0375735,-207.9986976
28032000.00000,185.0000000,1018.381638,227.3372369,5.286700179,-1018.381638,-199.0490595,-208.0014773
28207200.00000,185.0000000,1018.395135,227.3476720,5.284294169,-1018.395135,-199.0593447,-208.0040332
28382400.00000,185.0000000,1018.407416,227.3569738,5.282209417,-1018.407416,-199.0683874,-208.0063769
28557600.00000,185.0000000,1018.418794,227.3654641,5.280472210,-1018.418794,-199.0763411,-208.0086508
28732800.00000,185.0000000,1018.429377,227.3728194,5.279030314,-1018.429377,-199.0829093,-208.0108798
28908000.00000,185.0000000,1018.439123,227.3790058,5.277877221,-1018.439123,-199.0880929,-208.0130356
29083200.00000,185.0000000,1018.448511,227.3855345,5.278072656,-1018.448511,-199.0933893,-208.0140726
29258400.00000,185.0000000,1018.457434,227.3919441,5.280336379,-1018.457434,-199.0984003,-208.0132074
29433600.00000,185.0000000,1018.465896,227.3981018,5.282564757,-1018.465896,-199.1030066,-208.0125304
29608800.00000,185.0000000,1018.474017,227.4040626,5.284685162,-1018.474017,-199.1073622,-208.0120153
29784000.00000,185.0000000,1018.481808,227.4097693,5.286699730,-1018.481808,-199.1114406,-208.0116290
29959200.00000,185.0000000,1018.489461,227.4154317,5.288605749,-1018.489461,-199.1154047,-208.0114212
30134400.00000,185.0000000,1018.497016,227.4209054,5.290416786,-1018.497016,-199.1190944,-208.0113943
30309600.00000,185.0000000,1018.504415,227.4258834,5.292157947,-1018.504415,-199.1221951,-208.0115304
30484800.00000,185.0000000,1018.511557,227.4301487,5.293858209,-1018.511557,-199.1244898,-208.0118007
30660000.00000,185.0000000,1018.518380,227.4337380,5.295537542,-1018.518380,-199.1260175,-208.0121829
30835200.00000,185.0000000,1018.524860,227.4367208,5.297208930,-1018.524860,-199.1268518,-208.0126601
