time,LAK1_STAGE,LAK2_STAGE,LAK1_TO-MVR,LAK1_FROM-MVR,LAK2_TO-MVR,LAK2_FROM-MVR
8935200.000000,1041.251224,1001.410358,-32.62104418,31.22706147,-186.3636344,175.9034584
9110400.000000,1041.251212,1001.410348,-32.62056404,31.22706147,-186.3614326,175.9027922
9285600.000000,1041.251201,1001.410338,-32.62007672,31.22706147,-186.3591924,175.9021034
9460800.000000,1041.251190,1001.410328,-32.61958266,31.22706147,-186.3569152,175.9013929
9636000.000000,1041.251178,1001.410317,-32.61908226,31.22706147,-186.3546022,175.9006614
9811200.000000,1041.251167,1001.410307,-32.61857590,31.22706147,-186.3522548,175.8999097
9986400.000000,1041.251155,1001.410296,-32.61806393,31.22706147,-186.3498740,175.8991383
10161600.00000,1041.251143,1001.410285,-32.61754668,31.22706147,-186.3474609,175.8983481
10336800.00000,1041.251131,1001.410274,-32.61702443,31.22706147,-186.3450168,175.8975395
10512000.00000,1041.251119,1001.410263,-32.61649748,31.22706147,-186.3425425,175.8967132
10687200.00000,1041.251106,1001.410251,-32.61593996,31.22706147,-186.3399047,175.8958346
10862400.00000,1041.251093,1001.410238,-32.61535018,31.22706147,-186.3370954,175.8949006
11037600.00000,1041.251078,1001.410224,-32.61472989,31.22706147,-186.3341244,175.8939132
11212800.00000,1041.251063,1001.410210,-32.61408109,31.22706147,-186.3310056,175.8928749
11388000.00000,1041.251048,1001.410195,-32.61340577,31.22706147,-186.3277530,175.8917882
11563200.00000,1041.251032,1001.410180,-32.61270568,31.22706147,-186.3243758,175.8906553
11738400.00000,1041.251015,1001.410164,-32.61198246,31.22706147,-186.3208817,175.8894783
11913600.00000,1041.250998,1001.410148,-32.61123761,31.22706147,-186.3172779,175.8882589
12088800.00000,1041.250980,1001.410131,-32.61047252,31.22706147,-186.3135707,175.8869991
12264000.00000,1041.250962,1001.410114,-32.60968849,31.22706147,-186.3097661,175.8857003
12439200.00000,1041.250944,1001.410096,-32.60888670,31.22706147,-186.3058694,175.8843642
12614400.00000,1041.250925,1001.410078,-32.60806826,31.22706147,-186.3018858,175.8829921
12789600.00000,1041.250906,1001.410060,-32.60723419,31.22706147,-186.2978196,175.8815853
12964800.00000,1041.250886,1001.410041,-32.60638543,31.22706147,-186.2936753,175.8801451
13140000.00000,1041.250866,1001.410022,-32.60552286,31.22706147,-186.2894566,175.8786727
13315200.00000,1041.250847,1001.410003,-32.60470047,31.22706147,-186.2854407,175.8772406
13490400.00000,1041.250830,1001.409986,-32.60392277,31.22706147,-186.2816485,175.8758570
13665600.00000,1041.250813,1001.409970,-32.60318748,31.22706147,-186.2780749,175.8745203
13840800.00000,1041.250797,1001.409955,-32.60249181,31.22706147,-186.2747117,175.8732280
14016000.00000,1041.250782,1001.409940,-32.60183292,31.22706147,-186.2715406,175.8719772
