#rno k i j rlen rwid rgrd rtp rbth rhk man ncon ustrf ndv line_id
39 1 9 5 222.74397 19.89411368164656 1e-05 32.91991424560547 1 8.408465 0.03700000047683716 2 1.0 0 17957903
40 1 10 5 203.54909 19.897505110182106 1e-05 32.91991424560547 1 3.3933082 0.03700000047683716 2 1.0 0 17957903
41 1 10 6 263.05402 19.90121723012827 1e-05 32.91991424560547 1 2.1860976 0.03700000047683716 2 1.0 0 17957903
42 1 11 6 1228.1797 19.913080928176726 1e-05 32.91991424560547 1 1.0 0.03700000047683716 2 1.0 0 17957903
43 4 11 7 651.97723 19.928038755096846 1e-05 32.91991424560547 1 1.0 0.03700000047683716 2 1.0 0 17957903
44 1 12 6 827.8507 19.939811711221573 1e-05 32.91991424560547 1 1.0 0.03700000047683716 2 1.0 0 17957903
45 4 10 18 451.77704 5.1536725324418695 0.0005220704096415001 37.54048332900244 1 2.5622952 0.03700000047683716 2 1.0 0 17955819
46 4 9 17 1103.2919 5.188527226816212 0.00017092314967969476 37.304623905407375 1 1.0 0.03700000047683716 2 1.0 0 17955819
47 4 9 16 140.0418 5.216394812892977 0.001470749754225759 37.116045783950945 1 1.0 0.03700000047683716 2 1.0 0 17955819
48 4 10 16 1217.9365 5.246831998711896 0.00020985919956266556 36.91007935010408 1 1.1015497 0.03700000047683716 2 1.0 0 17955819
49 4 8 15 307.98782 3.2468807584064256 0.000974619347266304 37.25560216573712 1 1.0 0.03700000047683716 1 1.0 0 17955821
50 4 9 15 1010.96204 3.3164980282189758 0.00029768388654707585 36.95543127424491 1 1.0 0.03700000047683716 2 1.0 0 17955821
51 4 10 14 367.43936 4.072862148284912 0.0008918676791924555 36.70667266845703 1 1.0 0.03700000047683716 1 1.0 0 17955809
52 4 11 12 1043.7516 19.724104670865902 1.3807812558293967e-05 33.4746532907256 1 1.8641529 0.03700000047683716 2 1.0 0 17955907
53 4 12 12 60.352333 19.73649576125897 0.008952878726895505 33.46024136445607 1 1.0 0.03700000047683716 2 1.0 0 17955907
54 4 13 7 408.78516 22.021035778922972 1e-05 32.91991424560547 1 1.3442281 0.03700000047683716 2 1.0 0 17955933
55 4 12 7 1011.4173 22.03023872617698 1e-05 32.91991424560547 1 1.466183 0.03700000047683716 2 1.0 0 17955933
56 4 12 8 750.88696 22.04165850174959 1e-05 32.91991424560547 1 1.0 0.03700000047683716 2 1.0 0 17955933
57 4 11 8 585.7987 22.050320259323147 1e-05 32.91991424560547 1 1.0 0.03700000047683716 2 1.0 0 17955933
58 4 11 9 1303.6846 22.062564159308117 1e-05 32.91991424560547 1 1.0 0.03700000047683716 2 1.0 0 17955933
59 4 12 9 361.3985 22.07335393911311 1e-05 32.91991424560547 1 1.0 0.03700000047683716 2 1.0 0 17955933
60 4 11 10 660.79047 22.079977752500465 1e-05 32.91991424560547 1 1.0 0.03700000047683716 2 1.0 0 17955933
61 4 12 10 1019.84735 22.09086832074386 1e-05 32.91991424560547 1 1.2768912 0.03700000047683716 2 1.0 0 17955933
62 4 10 15 363.17252 6.30471207529753 0.0004617182637017549 36.65448416617735 1 1.6684948 0.03700000047683716 3 1.0 0 17955905
63 4 11 15 496.13037 6.324673590178108 0.0004332165522349235 36.48680078272605 1 1.0 0.03700000047683716 2 1.0 0 17955905
64 4 11 16 605.29987 6.3502597037736885 0.0014921501130933025 36.27186889390178 1 1.0 0.03700000047683716 2 1.0 0 17955905
65 4 10 13 595.67303 4.306267976760864 0.0008488909709351245 36.37896537780762 1 1.872621 0.03700000047683716 2 1.0 0 17955829
66 4 12 11 671.19965 22.7592211502374 1e-05 32.91991424560547 1 2.7347403 0.03700000047683716 3 1.0 0 17955969
67 4 13 11 1238.3945 22.77766330475752 1e-05 32.91991424560547 1 1.0 0.03700000047683716 2 1.0 0 17955969
68 4 12 16 812.9935 6.574175471366561 0.0005508410381134176 35.36867063080836 1 1.4087548 0.03700000047683716 2 1.0 0 17955951
69 4 12 15 55.261 6.603122824729598 0.012771189537359107 34.92084043061305 1 1.0 0.03700000047683716 2 1.0 0 17955951
70 4 10 12 187.67647 19.250631236055337 0.002337904092940079 35.87330391704845 1 3.017026 0.03700000047683716 2 1.0 0 17955973
71 4 11 13 275.06476 19.257130296783284 0.004431022849060766 35.43453433460701 1 1.0 0.03700000047683716 2 1.0 0 17955973
72 4 12 13 1010.342 19.27518344814928 0.0012825378789313002 34.21571610560487 1 1.0 0.03700000047683716 2 1.0 0 17955973
73 4 13 12 156.36179 22.797346115112305 1e-05 32.91991424560547 1 10.601463 0.03700000047683716 2 1.0 0 17955975
74 4 13 15 930.7356 7.260001182556152 0.0010596046624695426 34.215091705322266 1 1.737044 0.03700000047683716 2 1.0 0 17956025
75 4 18 22 161.49025 3.540476195002405 0.0006770618647186941 36.48945874470336 1 5.128959 0.03700000047683716 1 1.0 0 17957969
76 4 18 21 737.7571 3.5706216948750282 0.00029225026224334453 36.38011985515242 1 1.0 0.03700000047683716 2 1.0 0 17957969
77 4 17 21 1035.5045 3.630066803695325 0.0002379837251878907 36.164510155027706 1 1.0 0.03700000047683716 2 1.0 0 17957969
78 4 16 21 991.2617 3.6980101740940796 0.00012977655972668943 35.91807693271798 1 1.0 0.03700000047683716 2 1.0 0 17957969
79 4 16 20 66.74693 3.73347782478929 0.0008295473132622549 35.78943439706984 1 1.0 0.03700000047683716 2 1.0 0 17957969
80 4 13 13 407.3329 22.836902134903255 1e-05 32.91991424560547 1 3.1620903 0.03700000047683716 3 1.0 0 17956047
81 4 14 13 900.32275 22.84563217653915 1e-05 32.91991424560547 1 1.0 0.03700000047683716 2 1.0 0 17956047
82 4 14 14 558.095 22.85536872114029 1e-05 32.91991424560547 1 1.0 0.03700000047683716 2 1.0 0 17956047
83 4 14 15 391.37238 7.3570404052734375 0.0007894417243882603 33.22887992858887 1 2.7173939 0.03700000047683716 2 1.0 0 17956055
84 4 15 20 952.12286 3.765150629970398 0.00010298543872495662 35.734064658144966 1 1.1964816 0.03700000047683716 2 1.0 0 17956121
85 4 15 19 1023.58716 3.826230453496198 0.00010656542580329207 35.6360098672996 1 1.0 0.03700000047683716 2 1.0 0 17956121
86 4 15 18 1174.2501 3.8941774257557027 0.00010224017808954142 35.5269308659389 1 1.0 0.03700000047683716 2 1.0 0 17956121
87 4 15 17 1244.7539 3.9689618522088344 0.00010032874284815637 35.40687532433677 1 1.0 0.03700000047683716 2 1.0 0 17956121
88 4 16 17 1271.5502 4.046754369347732 0.0004474890180178189 35.28199072976737 1 1.0 0.03700000047683716 2 1.0 0 17956121
89 4 15 14 62.79178 23.758883476257324 0.007311235244058378 32.91991424560547 1 12.000295 0.03700000047683716 3 1.0 0 17956075
90 4 17 17 438.50827 4.402983665466309 0.002968161372119563 34.71298599243164 1 2.4374192 0.03700000047683716 2 1.0 0 17956161
91 1 14 6 989.15027 2.416338910137009 1e-05 35.69922637939453 1 1.0 0.03700000047683716 1 1.0 0 17956107
92 1 13 6 551.1244 2.4956982864712063 1e-05 35.69922637939453 1 1.0 0.03700000047683716 2 1.0 0 17956107
93 1 14 7 1220.3386 2.586969152087239 1e-05 35.69922637939453 1 1.0 0.03700000047683716 2 1.0 0 17956107
94 1 15 7 946.3642 2.698603931905822 1e-05 35.69922637939453 1 1.0 0.03700000047683716 2 1.0 0 17956107
95 1 15 8 905.7902 2.7940322509662305 1e-05 35.69922637939453 1 1.0 0.03700000047683716 2 1.0 0 17956107
96 1 16 8 531.92285 2.868107356196561 1e-05 35.69922637939453 1 1.0 0.03700000047683716 2 1.0 0 17956107
97 4 16 9 1298.2706 2.9624041845630504 1e-05 35.69922637939453 1 1.0 0.03700000047683716 2 1.0 0 17956107
98 4 17 9 340.49152 3.046837954263788 1e-05 35.69922637939453 1 1.0 0.03700000047683716 2 1.0 0 17956107
99 4 17 10 467.7516 3.0884809175293038 1e-05 35.69922637939453 1 1.0 0.03700000047683716 2 1.0 0 17956107
100 4 16 10 570.8549 3.141992960559639 0.00066712133738065 35.69922637939453 1 1.0 0.03700000047683716 2 1.0 0 17956107
101 4 15 15 584.18994 23.782512664794922 0.0008816515929311166 32.46082878112793 1 1.7010468 0.03700000047683716 2 1.0 0 17956091
102 4 17 16 1181.2313 4.614397440651286 0.001044035679954705 33.411422683280044 1 1.0 0.03700000047683716 2 1.0 0 17956151
103 4 16 16 197.2023 4.671511798310069 0.0011784763444134198 32.17817503553509 1 1.0 0.03700000047683716 2 1.0 0 17956151
104 4 16 11 720.16724 3.6416408679726917 0.0011787376981594517 35.31839688209167 1 1.9511265 0.03700000047683716 2 1.0 0 17956169
105 4 16 12 885.122 3.695294098846809 0.0010448454636202925 34.4695086116524 1 1.0 0.03700000047683716 2 1.0 0 17956169
106 4 17 12 863.7497 3.753746256642092 0.0012552533507090105 33.54469289550849 1 1.0 0.03700000047683716 2 1.0 0 17956169
107 4 17 13 1186.5725 3.8222737179102406 0.0005514865634217681 32.460468196906504 1 1.0 0.03700000047683716 2 1.0 0 17956169
108 4 16 15 838.2556 24.290441399914034 0.000100651358892324 31.945776788712774 1 1.6843586 0.03700000047683716 3 1.0 0 17957929
109 4 17 15 425.44507 24.302112466198214 0.0001300187140692629 31.861405221940313 1 1.0 0.03700000047683716 2 1.0 0 17957929
110 4 17 14 157.261 24.645994186401367 0.0002563923800094124 31.806089401245117 1 7.8127794 0.03700000047683716 3 1.0 0 17957955
111 4 18 14 526.4451 24.671619330529982 9.485096964334979e-05 31.765768878765584 1 3.0112324 0.03700000047683716 2 1.0 0 17957983
112 4 19 14 1433.8779 24.688821006510587 3.1244844421496046e-05 31.715835047778494 1 1.0 0.03700000047683716 2 1.0 0 17957983
113 4 19 12 324.94995 24.70425457745002 4.503969577727196e-05 31.67103375494599 1 1.0 0.03700000047683716 2 1.0 0 17957983
114 4 19 13 249.62218 24.70929640283201 0.0009749153381761154 31.65639810800237 1 6.196434 0.03700000047683716 2 1.0 0 17957983
115 4 27 26 437.29074 3.105591065347893 1e-05 34.78607177734375 1 1.0 0.03700000047683716 1 1.0 0 17956813
116 4 27 25 1085.5255 3.1685676064893866 1e-05 34.78607177734375 1 1.0 0.03700000047683716 2 1.0 0 17956813
117 4 27 24 1137.1465 3.260486906599133 1e-05 34.78607177734375 1 1.0 0.03700000047683716 2 1.0 0 17956813
118 4 20 12 648.9151 24.722724629423887 0.000132782345528677 31.413037618775245 1 2.176952 0.03700000047683716 2 1.0 0 17956369
119 4 21 13 316.51828 24.731254291970576 0.0007718751993315626 31.326873149735302 1 1.0 0.03700000047683716 2 1.0 0 17956369
120 4 27 23 595.44794 3.3278904552762434 1e-05 34.78607177734375 1 1.7052524 0.03700000047683716 2 1.0 0 17958269
121 4 27 22 1031.8953 3.383578894300321 1e-05 34.78607177734375 1 1.0 0.03700000047683716 2 1.0 0 17958269
