34.24 39.35 38.68 -142.06 -141.70 -141.10 -140.36 -139.34 -138.23 -137.00 -135.68 -134.31 -132.89 -131.41 -129.89 -128.12 -126.09 -123.66 -120.05 -115.70 -109.36 -102.28 -94.61 -86.62 -78.70 -70.95 -63.58 -56.41 -49.68 -43.15 -36.81 -30.75 -24.72 40.20 41.57
37.19 39.26 38.29 -141.84 -141.93 -141.70 -141.29 -140.51 -139.63 -138.62 -137.51 -136.38 -135.23 -134.09 -132.95 -131.74 -130.34 -128.63 -125.69 -121.79 -114.98 -107.37 -99.12 -90.70 -82.40 -74.34 -66.69 -59.26 -52.29 -45.55 -39.02 -32.81 -26.70 38.75 38.65
37.42 38.72 38.88 -141.89 -142.40 -142.51 -142.38 -141.81 -141.12 -140.28 -139.35 -138.40 -137.48 -136.63 -135.82 -135.12 -134.32 -133.37 -131.18 -127.81 -120.38 -112.14 -103.27 -94.42 -85.75 -77.41 -69.52 -61.86 -54.71 -47.79 -41.11 -34.77 -28.55 40.25 40.31
38.90 35.11 38.85 -142.69 -143.51 -143.84 -143.89 -143.42 -142.81 -142.03 -141.16 -140.27 -139.43 -138.71 -138.06 -137.68 -137.32 -137.00 -135.80 -133.15 -124.70 -115.69 -106.23 -97.08 -88.16 -79.66 -71.65 -63.88 -56.63 -49.63 -42.87 -36.47 -30.20 40.02 40.05
38.29 38.31 37.42 -144.25 -145.24 -145.67 -145.76 -145.28 -144.66 -143.84 -142.92 -141.99 -141.10 -140.32 -139.63 -139.18 -138.74 -138.33 -136.98 -134.23 -125.95 -117.06 -107.71 -98.61 -89.72 -81.23 -73.21 -65.43 -58.16 -51.14 -44.36 -37.95 -31.68 40.05 39.60
38.24 38.50 38.01 38.18 -147.44 -147.85 -147.90 -147.34 -146.62 -145.69 -144.65 -143.59 -142.55 -141.60 -140.70 -139.91 -139.01 -137.95 -135.63 -132.18 -124.93 -116.84 -108.09 -99.30 -90.65 -82.30 -74.36 -66.64 -59.40 -52.41 -45.66 -39.27 -33.02 40.96 39.45
37.09 36.47 37.84 38.40 -150.84 -150.95 -150.70 -149.85 -148.84 -147.64 -146.32 -144.97 -143.62 -142.29 -140.98 -139.63 -138.09 -136.26 -133.23 -129.30 -122.63 -115.16 -107.05 -98.72 -90.46 -82.39 -74.67 -67.13 -60.03 -53.16 -46.51 -40.21 -34.04 -28.10 -21.33
35.89 37.89 38.01 37.78 -154.70 -154.39 -153.74 -152.52 -151.17 -149.63 -147.98 -146.30 -144.59 -142.86 -141.12 -139.20 -137.03 -134.50 -130.87 -126.53 -120.30 -113.32 -105.77 -97.86 -89.98 -82.20 -74.70 -67.37 -60.43 -53.71 -47.20 -41.01 -34.95 -29.09 -23.39
37.92 37.97 37.55 37.78 -159.28 -158.38 -157.17 -155.46 -153.64 -151.67 -149.61 -147.53 -145.42 -143.25 -141.04 -138.56 -135.83 -132.71 -128.63 -124.00 -117.97 -111.30 -104.15 -96.59 -89.04 -81.54 -74.30 -67.20 -60.48 -53.95 -47.62 -41.58 -35.65 -29.91 -24.30
38.64 38.63 37.17 37.26 -164.44 -162.80 -160.88 -158.58 -156.20 -153.73 -151.22 -148.70 -146.16 -143.57 -140.93 -137.98 -134.79 -131.20 -126.79 -121.92 -115.94 -109.42 -102.47 -95.13 -87.80 -80.52 -73.52 -66.67 -60.19 -53.91 -47.80 -41.95 -36.19 -30.57 -25.07
