#k i j q boundname
5 4 13 79.124 perimeter-fluxes
5 4 14 48.976 perimeter-fluxes
5 4 15 32.0722 perimeter-fluxes
5 4 16 19.7333 perimeter-fluxes
5 4 24 -42.4025 perimeter-fluxes
5 4 25 -20.4638 perimeter-fluxes
5 4 26 -11.8386 perimeter-fluxes
5 4 27 -5.03292 perimeter-fluxes
5 5 9 -13.7623 perimeter-fluxes
5 5 10 37.8332 perimeter-fluxes
5 5 11 -47.0362 perimeter-fluxes
5 5 17 13.2665 perimeter-fluxes
5 5 23 -50.783 perimeter-fluxes
5 5 28 -3.90704 perimeter-fluxes
5 5 32 0.275701 perimeter-fluxes
5 5 33 -2.79907 perimeter-fluxes
5 6 8 133.727 perimeter-fluxes
5 6 18 13.815 perimeter-fluxes
5 6 29 -4.67739 perimeter-fluxes
5 7 7 0.11305 perimeter-fluxes
5 7 19 37.2616 perimeter-fluxes
5 7 22 -5.81481 perimeter-fluxes
5 7 30 17.7896 perimeter-fluxes
5 7 31 11.8445 perimeter-fluxes
5 8 6 -0.0312403 perimeter-fluxes
5 8 20 36.6143 perimeter-fluxes
5 8 21 43.9366 perimeter-fluxes
5 9 5 0.42427 perimeter-fluxes
5 10 4 0.145599 perimeter-fluxes
5 18 34 94.6572 perimeter-fluxes
5 18 35 0 perimeter-fluxes
6 4 16 318.122 perimeter-fluxes
6 4 27 95.6023 perimeter-fluxes
6 5 17 340.33 perimeter-fluxes
6 5 28 75.2586 perimeter-fluxes
6 5 33 -12.1915 perimeter-fluxes
6 6 18 358.007 perimeter-fluxes
6 6 29 55.6374 perimeter-fluxes
6 6 33 -9.01375 perimeter-fluxes
6 7 19 372.108 perimeter-fluxes
6 7 33 -7.65738 perimeter-fluxes
6 8 33 -6.04461 perimeter-fluxes
6 9 33 -4.61131 perimeter-fluxes
6 10 33 -4.91241 perimeter-fluxes
6 11 33 -6.86509 perimeter-fluxes
6 12 33 -8.73881 perimeter-fluxes
6 13 33 -12.1198 perimeter-fluxes
6 14 33 -14.0653 perimeter-fluxes
6 15 33 -17.1759 perimeter-fluxes
6 16 33 -22.8019 perimeter-fluxes
6 17 33 -24.1785 perimeter-fluxes
6 18 35 -0 perimeter-fluxes
6 19 35 -0 perimeter-fluxes
6 20 35 -0 perimeter-fluxes
6 21 35 -0 perimeter-fluxes
6 22 35 -0 perimeter-fluxes
6 23 35 -0 perimeter-fluxes
6 24 35 -0 perimeter-fluxes
6 25 35 -0 perimeter-fluxes
6 26 35 -0 perimeter-fluxes
6 27 35 -0 perimeter-fluxes
6 28 21 -0 perimeter-fluxes
6 4 12 -253.347 perimeter-fluxes
6 4 24 -246.658 perimeter-fluxes
6 5 9 -263.06 perimeter-fluxes
6 5 23 -275.786 perimeter-fluxes
6 5 32 -4.74502 perimeter-fluxes
6 6 8 -103.565 perimeter-fluxes
6 6 23 -266.757 perimeter-fluxes
6 6 32 -7.65283 perimeter-fluxes
6 7 7 -0.292849 perimeter-fluxes
6 7 22 -306.372 perimeter-fluxes
6 8 6 -0.393994 perimeter-fluxes
6 9 5 -0.0741915 perimeter-fluxes
6 10 4 0.0477236 perimeter-fluxes
6 11 4 0.210536 perimeter-fluxes
6 12 4 0.0579927 perimeter-fluxes
6 13 4 0.231939 perimeter-fluxes
6 14 4 0.0660717 perimeter-fluxes
6 15 4 0.219076 perimeter-fluxes
6 16 4 0.220874 perimeter-fluxes
6 17 5 -0.121453 perimeter-fluxes
6 18 5 -0.374403 perimeter-fluxes
6 19 5 -0.338443 perimeter-fluxes
6 20 5 -0.0838918 perimeter-fluxes
6 21 5 0.02941 perimeter-fluxes
6 22 5 0.123932 perimeter-fluxes
6 23 5 0.42381 perimeter-fluxes
6 24 5 0.29396 perimeter-fluxes
6 25 5 0.334606 perimeter-fluxes
6 26 5 0.687544 perimeter-fluxes
6 27 10 -0.508833 perimeter-fluxes
6 28 11 0 perimeter-fluxes
6 16 4 -0.0765182 perimeter-fluxes
6 26 5 0.0001372 perimeter-fluxes
6 26 6 0.227742 perimeter-fluxes
6 26 7 -0.109515 perimeter-fluxes
6 26 8 -0.236366 perimeter-fluxes
6 26 9 -0.216259 perimeter-fluxes
6 27 10 -0 perimeter-fluxes
6 27 22 -0 perimeter-fluxes
6 27 23 -0 perimeter-fluxes
6 27 24 -0 perimeter-fluxes
6 27 25 -0 perimeter-fluxes
6 27 26 -0 perimeter-fluxes
6 27 27 -0 perimeter-fluxes
6 27 28 -0 perimeter-fluxes
6 27 29 -0 perimeter-fluxes
6 27 30 -0 perimeter-fluxes
6 27 31 -0 perimeter-fluxes
6 27 32 -0 perimeter-fluxes
6 27 33 -0 perimeter-fluxes
6 27 34 -0 perimeter-fluxes
6 27 35 -0 perimeter-fluxes
6 28 11 -0 perimeter-fluxes
6 28 12 -0 perimeter-fluxes
6 28 13 -0 perimeter-fluxes
6 28 14 -0 perimeter-fluxes
6 28 15 -0 perimeter-fluxes
6 28 16 -0 perimeter-fluxes
6 28 17 -0 perimeter-fluxes
6 28 18 -0 perimeter-fluxes
6 28 19 -0 perimeter-fluxes
6 28 20 -0 perimeter-fluxes
6 28 21 -0 perimeter-fluxes
6 4 12 73.947 perimeter-fluxes
6 4 13 79.3934 perimeter-fluxes
6 4 14 48.9286 perimeter-fluxes
6 4 15 32.0607 perimeter-fluxes
6 4 16 19.7042 perimeter-fluxes
6 4 24 -42.4219 perimeter-fluxes
6 4 25 -20.4782 perimeter-fluxes
6 4 26 -11.8393 perimeter-fluxes
6 4 27 -5.03678 perimeter-fluxes
6 5 9 -14.713 perimeter-fluxes
6 5 10 37.765 perimeter-fluxes
6 5 11 -48.1966 perimeter-fluxes
6 5 17 13.2624 perimeter-fluxes
6 5 23 -50.7762 perimeter-fluxes
6 5 28 -3.90436 perimeter-fluxes
6 5 32 0.279411 perimeter-fluxes
6 5 33 -2.79069 perimeter-fluxes
6 6 8 133.525 perimeter-fluxes
6 6 18 13.8384 perimeter-fluxes
6 6 29 -4.64201 perimeter-fluxes
6 7 7 0.113053 perimeter-fluxes
6 7 19 37.3925 perimeter-fluxes
6 7 22 -5.7516 perimeter-fluxes
6 7 30 17.7841 perimeter-fluxes
6 7 31 11.847 perimeter-fluxes
6 8 6 -0.0307822 perimeter-fluxes
6 8 20 36.5705 perimeter-fluxes
6 8 21 43.929 perimeter-fluxes
6 9 5 0.423903 perimeter-fluxes
6 10 4 0.145597 perimeter-fluxes
6 18 34 94.5814 perimeter-fluxes
6 18 35 0 perimeter-fluxes
7 4 16 236.529 perimeter-fluxes
7 4 27 22.7494 perimeter-fluxes
7 5 17 251.015 perimeter-fluxes
7 5 28 9.65725 perimeter-fluxes
7 6 18 262.715 perimeter-fluxes
7 6 29 -0 perimeter-fluxes
7 7 19 265.338 perimeter-fluxes
7 7 30 -0 perimeter-fluxes
7 8 30 -0 perimeter-fluxes
7 13 33 -0 perimeter-fluxes
7 14 33 -0.952987 perimeter-fluxes
7 15 33 -1.43722 perimeter-fluxes
7 16 33 -3.1211 perimeter-fluxes
7 17 33 -4.24782 perimeter-fluxes
7 18 34 -0 perimeter-fluxes
7 19 35 -0 perimeter-fluxes
7 20 35 -0 perimeter-fluxes
7 21 35 -0 perimeter-fluxes
7 22 35 -0 perimeter-fluxes
7 23 35 -0 perimeter-fluxes
7 24 35 -0 perimeter-fluxes
7 25 35 -0 perimeter-fluxes
7 26 35 -0 perimeter-fluxes
7 27 35 -0 perimeter-fluxes
7 28 21 -0 perimeter-fluxes
7 4 12 -199.346 perimeter-fluxes
7 4 24 -110.618 perimeter-fluxes
7 5 9 -211.83 perimeter-fluxes
7 5 23 -142.09 perimeter-fluxes
7 6 8 -108.033 perimeter-fluxes
7 6 23 -139.001 perimeter-fluxes
7 7 7 -157.882 perimeter-fluxes
7 7 22 -182.228 perimeter-fluxes
7 8 6 -441.979 perimeter-fluxes
7 9 5 -89.6406 perimeter-fluxes
7 10 4 56.798 perimeter-fluxes
7 11 4 258.459 perimeter-fluxes
7 12 4 72.0663 perimeter-fluxes
7 13 4 280.72 perimeter-fluxes
7 14 4 80.3608 perimeter-fluxes
7 15 4 259.177 perimeter-fluxes
7 16 4 255.667 perimeter-fluxes
7 17 5 -132.934 perimeter-fluxes
7 18 5 -389.036 perimeter-fluxes
7 19 5 -335.757 perimeter-fluxes
7 20 5 -79.0073 perimeter-fluxes
7 21 5 25.346 perimeter-fluxes
7 22 5 99.6856 perimeter-fluxes
7 23 5 312.05 perimeter-fluxes
7 24 5 200.109 perimeter-fluxes
7 25 5 206.521 perimeter-fluxes
7 26 5 388.767 perimeter-fluxes
7 27 10 -363.404 perimeter-fluxes
7 28 11 0 perimeter-fluxes
7 16 4 -89.8568 perimeter-fluxes
7 26 5 -0.236382 perimeter-fluxes
7 26 6 126.881 perimeter-fluxes
7 26 7 -65.5974 perimeter-fluxes
7 26 8 -149.698 perimeter-fluxes
7 26 9 -145.66 perimeter-fluxes
7 27 10 -0 perimeter-fluxes
7 27 22 -0 perimeter-fluxes
7 27 23 -0 perimeter-fluxes
7 27 24 -0 perimeter-fluxes
7 27 25 -0 perimeter-fluxes
7 27 26 -0 perimeter-fluxes
7 27 27 -0 perimeter-fluxes
7 27 28 -0 perimeter-fluxes
7 27 29 -0 perimeter-fluxes
7 27 30 -0 perimeter-fluxes
7 27 31 -0 perimeter-fluxes
7 27 32 -0 perimeter-fluxes
7 27 33 -0 perimeter-fluxes
7 27 34 -0 perimeter-fluxes
7 27 35 -0 perimeter-fluxes
7 28 11 -0 perimeter-fluxes
7 28 12 -0 perimeter-fluxes
7 28 13 -0 perimeter-fluxes
7 28 14 -0 perimeter-fluxes
7 28 15 -0 perimeter-fluxes
7 28 16 -0 perimeter-fluxes
7 28 17 -0 perimeter-fluxes
7 28 18 -0 perimeter-fluxes
7 28 19 -0 perimeter-fluxes
7 28 20 -0 perimeter-fluxes
7 28 21 -0 perimeter-fluxes
7 4 12 57.7731 perimeter-fluxes
7 4 13 61.185 perimeter-fluxes
7 4 14 36.8319 perimeter-fluxes
7 4 15 24.0108 perimeter-fluxes
7 4 16 14.5393 perimeter-fluxes
7 4 24 -19.1988 perimeter-fluxes
7 4 25 -8.22703 perimeter-fluxes
7 4 26 -3.81143 perimeter-fluxes
7 4 27 -1.25671 perimeter-fluxes
7 5 9 -12.7693 perimeter-fluxes
7 5 10 30.2334 perimeter-fluxes
7 5 11 -39.5405 perimeter-fluxes
7 5 17 9.6935 perimeter-fluxes
7 5 23 -26.4022 perimeter-fluxes
7 5 28 -0.576277 perimeter-fluxes
7 6 8 174.685 perimeter-fluxes
7 6 18 10.1291 perimeter-fluxes
7 6 29 -0.254481 perimeter-fluxes
7 7 7 124.406 perimeter-fluxes
7 7 19 26.7507 perimeter-fluxes
7 7 22 -3.389 perimeter-fluxes
7 7 30 0.417476 perimeter-fluxes
7 8 6 -33.9194 perimeter-fluxes
7 8 20 25.5688 perimeter-fluxes
7 8 21 29.1547 perimeter-fluxes
7 9 5 517.288 perimeter-fluxes
7 10 4 181.297 perimeter-fluxes
7 13 33 2.42311 perimeter-fluxes
7 18 34 13.2119 perimeter-fluxes
7 19 35 0 perimeter-fluxes
8 4 16 132.622 perimeter-fluxes
8 4 27 59.2101 perimeter-fluxes
8 5 17 144.746 perimeter-fluxes
8 5 28 48.3088 perimeter-fluxes
8 5 33 -4.31411 perimeter-fluxes
8 6 18 155.494 perimeter-fluxes
8 6 29 35.986 perimeter-fluxes
8 6 33 -4.60758 perimeter-fluxes
8 7 19 163.028 perimeter-fluxes
8 7 33 -3.79072 perimeter-fluxes
8 8 33 -3.45236 perimeter-fluxes
8 9 33 -2.77707 perimeter-fluxes
8 10 33 -3.09368 perimeter-fluxes
8 11 33 -4.3871 perimeter-fluxes
8 12 33 -5.8298 perimeter-fluxes
8 13 33 -8.43504 perimeter-fluxes
8 14 33 -9.57091 perimeter-fluxes
8 15 33 -11.5271 perimeter-fluxes
8 16 33 -15.0731 perimeter-fluxes
8 17 33 -15.8808 perimeter-fluxes
8 18 35 -0 perimeter-fluxes
8 19 35 -0 perimeter-fluxes
8 20 35 -0 perimeter-fluxes
8 21 35 -0 perimeter-fluxes
8 22 35 -0 perimeter-fluxes
8 23 35 -0 perimeter-fluxes
8 24 35 -0 perimeter-fluxes
8 25 35 -0 perimeter-fluxes
8 26 35 -0 perimeter-fluxes
8 27 35 -0 perimeter-fluxes
8 28 21 -0 perimeter-fluxes
8 4 12 -96.6483 perimeter-fluxes
8 4 24 -131.192 perimeter-fluxes
8 5 9 -95.2357 perimeter-fluxes
8 5 23 -139.543 perimeter-fluxes
8 5 32 -2.46337 perimeter-fluxes
8 6 8 -49.6711 perimeter-fluxes
8 6 23 -133.265 perimeter-fluxes
8 6 32 -4.36627 perimeter-fluxes
8 7 7 -78.3095 perimeter-fluxes
8 7 22 -144.977 perimeter-fluxes
8 8 6 -216.538 perimeter-fluxes
8 9 5 -43.7068 perimeter-fluxes
8 10 4 27.6037 perimeter-fluxes
8 11 4 129.319 perimeter-fluxes
8 12 4 37.1269 perimeter-fluxes
8 13 4 144.824 perimeter-fluxes
8 14 4 42.1486 perimeter-fluxes
8 15 4 135.532 perimeter-fluxes
8 16 4 133.432 perimeter-fluxes
8 17 5 -67.5126 perimeter-fluxes
8 18 5 -193.05 perimeter-fluxes
8 19 5 -163.331 perimeter-fluxes
8 20 5 -37.849 perimeter-fluxes
8 21 5 11.7387 perimeter-fluxes
8 22 5 45.129 perimeter-fluxes
8 23 5 136.632 perimeter-fluxes
8 24 5 86.3125 perimeter-fluxes
8 25 5 88.1979 perimeter-fluxes
8 26 5 165.39 perimeter-fluxes
8 27 10 -163.221 perimeter-fluxes
8 28 11 0 perimeter-fluxes
8 16 4 -47.3533 perimeter-fluxes
8 26 5 -0.224736 perimeter-fluxes
8 26 6 53.8314 perimeter-fluxes
8 26 7 -28.6862 perimeter-fluxes
8 26 8 -65.9993 perimeter-fluxes
8 26 9 -64.6065 perimeter-fluxes
8 27 10 -0 perimeter-fluxes
8 27 22 -0 perimeter-fluxes
8 27 23 -0 perimeter-fluxes
8 27 24 -0 perimeter-fluxes
8 27 25 -0 perimeter-fluxes
8 27 26 -0 perimeter-fluxes
8 27 27 -0 perimeter-fluxes
8 27 28 -0 perimeter-fluxes
8 27 29 -0 perimeter-fluxes
8 27 30 -0 perimeter-fluxes
8 27 31 -0 perimeter-fluxes
8 27 32 -0 perimeter-fluxes
8 27 33 -0 perimeter-fluxes
