rno,node,k,i,j,iseg,ireach,rchlen,width,slope,strtop,strthick,strhc1,thts,thti,eps,uhc,outreach,outseg,asum,line_id,name
145,573,3,16,13,46,3,1034.5969,24.300789,0.0001,31.870980714068676,1,1.0,0.0,0.0,0.0,0.0,146,47,-0.51729846,17957929,None
146,573,3,16,13,47,1,157.261,24.640656,0.0001,31.82952289723295,1,1.0,0.0,0.0,0.0,0.0,147,48,-1.1447699,17957955,None
147,608,3,17,13,47,2,408.85715,24.64349,0.0001,31.81700514253758,1,1.0,0.0,0.0,0.0,0.0,148,48,-0.8617108,17957955,None
148,608,3,17,13,47,3,650.9277,24.64886,0.0001,31.793571646212357,1,1.0,0.0,0.0,0.0,0.0,149,48,-0.32546386,17957955,None
149,608,3,17,13,48,1,526.4451,24.669632,0.0001,31.771452378198394,1,1.0,0.0,0.0,0.0,0.0,150,49,-4.184316,17957983,None
150,643,3,18,13,48,2,1433.8779,24.679436,0.0001,31.74268218550623,1,1.0,0.0,0.0,0.0,0.0,151,49,-3.2041547,17957983,None
151,642,3,18,12,48,3,1297.7224,24.693098,0.0001,31.702592535130915,1,1.0,0.0,0.0,0.0,0.0,152,49,-1.8383545,17957983,None
152,641,3,18,11,48,4,324.94995,24.701214,0.0001,31.678777780054407,1,1.0,0.0,0.0,0.0,0.0,153,49,-1.0270183,17957983,None
153,642,3,18,12,48,5,249.62218,24.704086,0.0001,31.670345220072807,1,1.0,0.0,0.0,0.0,0.0,154,49,-0.7397322,17957983,None
154,676,3,19,11,48,6,566.97156,24.70865,0.00017260894362609812,31.658360691887577,1,1.0,0.0,0.0,0.0,0.0,155,49,-0.28348577,17957983,None
155,676,3,19,11,49,1,197.09775,24.712471,0.0006203667982484164,31.56049633026123,1,1.0,0.0,0.0,0.0,0.0,156,50,-0.098548874,17956315,None
156,676,3,19,11,50,1,648.9151,24.720232,0.0001,31.438223431514874,1,1.0,0.0,0.0,0.0,0.0,157,51,-1.3838891,17956369,None
157,711,3,20,11,50,2,583.4713,24.726385,0.0001,31.376065124028674,1,1.0,0.0,0.0,0.0,0.0,158,51,-0.7676958,17956369,None
158,712,3,20,12,50,3,316.51828,24.730879,0.0001,31.330672034956034,1,1.0,0.0,0.0,0.0,0.0,159,51,-0.317701,17956369,None
159,711,3,20,11,50,4,159.44188,24.733255,0.0007194968372689683,31.306665864876475,1,1.0,0.0,0.0,0.0,0.0,160,51,-0.079720944,17956369,None
160,711,3,20,11,51,1,151.27428,24.734804,0.0007153491117466375,31.19194793701172,1,1.0,0.0,0.0,0.0,0.0,161,52,-0.07563714,17956377,None
161,711,3,20,11,52,1,66.95304,24.87568,0.0001,31.083734017520367,1,1.0,0.0,0.0,0.0,0.0,162,54,-0.084567055,17956381,None
162,746,3,21,11,52,2,51.090534,24.876266,0.0006337132417682386,31.081022721263587,1,1.0,0.0,0.0,0.0,0.0,167,54,-0.025545267,17956381,None
163,935,3,26,25,53,1,437.29074,3.1031027,0.0001,34.78607177734375,1,1.0,0.0,0.0,0.0,0.0,164,55,-2.8657467,17956813,None
164,934,3,26,24,53,2,1085.5255,3.1574132,0.0001,34.78607177734375,1,1.0,0.0,0.0,0.0,0.0,165,55,-2.1043386,17956813,None
165,933,3,26,23,53,3,1137.1465,3.2366838,0.0001,34.78607177734375,1,1.0,0.0,0.0,0.0,0.0,166,55,-0.99300253,17956813,None
166,932,3,26,22,53,4,424.42932,3.292377,0.0001,34.78607177734375,1,1.0,0.0,0.0,0.0,0.0,168,55,-0.21221466,17956813,None
167,746,3,21,11,54,1,190.58434,24.928354,0.00036574864883365954,31.048645973205566,1,1.0,0.0,0.0,0.0,0.0,171,56,-0.095292166,17956389,None
168,932,3,26,22,55,1,595.44794,3.327565,0.0001,34.78607177734375,1,1.0,0.0,0.0,0.0,0.0,169,57,-2.2962592,17958269,None
169,931,3,26,21,55,2,1031.8953,3.382364,0.0001,34.78607177734375,1,1.0,0.0,0.0,0.0,0.0,170,57,-1.4825877,17958269,None
170,930,3,26,20,55,3,925.20593,3.448267,0.0001,34.78607177734375,1,1.0,0.0,0.0,0.0,0.0,172,57,-0.50403714,17958269,None
171,747,3,21,12,56,1,299.59183,24.931273,0.0004920397472410097,30.9789400100708,1,1.0,0.0,0.0,0.0,0.0,174,58,-0.14979592,17956399,None
172,895,3,25,20,57,1,1302.6047,4.5704346,0.0001,34.78607177734375,1,1.0,0.0,0.0,0.0,0.0,173,60,-1.1743742,17958265,None
