rno,node,k,i,j,iseg,ireach,rchlen,width,slope,strtop,strthick,strhc1,thts,thti,eps,uhc,outreach,outseg,asum,line_id,name
190,236,3,6,26,80,3,57.912148,3.7977493,5.64010601699156e-05,36.59960474306041,1,1.0,0.0,0.0,0.0,0.0,191,0,-4.057072,18047170,None
191,237,3,6,27,80,4,1028.5258,3.8300474,1e-05,36.596338436543455,1,1.0,0.0,0.0,0.0,0.0,192,0,-3.5138533,18047170,None
192,202,3,5,27,80,5,1017.33453,3.8908677,1e-05,36.5901876851205,1,1.0,0.0,0.0,0.0,0.0,193,0,-2.490923,18047170,None
193,167,3,4,27,80,6,1110.3428,3.9541202,1e-05,36.583790956311994,1,1.0,0.0,0.0,0.0,0.0,194,0,-1.4270843,18047170,None
194,132,3,3,27,80,7,147.3212,3.9915085,0.000680264788640836,36.580009867824636,1,1.0,0.0,0.0,0.0,0.0,0,0,-0.79825234,18047170,None
195,32,3,0,32,81,1,1110.7822,61.720135,0.00014540682992285407,37.38289605524359,1,1.0,0.0,0.0,0.0,0.0,196,0,-4.3420553,18046670,Tallahatchie River
196,31,3,0,31,81,2,1014.7993,61.720135,0.00014120048793733815,37.22138073294449,1,1.0,0.0,0.0,0.0,0.0,197,0,-3.2792647,18046670,Tallahatchie River
197,30,3,0,30,81,3,870.93427,61.720135,8.83626528254634e-05,37.07809057430945,1,1.0,0.0,0.0,0.0,0.0,198,0,-2.336398,18046670,Tallahatchie River
198,65,3,1,30,81,4,141.85274,61.720135,0.0003720238581466546,37.00113251220537,1,1.0,0.0,0.0,0.0,0.0,199,0,-1.8300045,18046670,Tallahatchie River
199,64,3,1,29,81,5,552.64825,61.720135,0.00018307107257307012,36.94835990953921,1,1.0,0.0,0.0,0.0,0.0,200,0,-1.4827539,18046670,Tallahatchie River
200,29,3,0,29,81,6,778.8255,61.720135,0.00010586837034847912,36.847186000851565,1,1.0,0.0,0.0,0.0,0.0,0,0,-0.817017,18046670,Tallahatchie River
