per,rno,inflow,runoff,specified_line_id,category,n_measured,n_estimated,start_datetime,line_id_in_model
0,161,,2541.8152300628003,,,,,2007-01-01,17956869
0,162,,2541.8152300628003,,,,,2007-01-01,17956869
0,163,,2541.8152300628003,,,,,2007-01-01,17956869
0,165,,2233.7288742857145,,,,,2007-01-01,17956913
0,166,,2233.7288742857145,,,,,2007-01-01,17956913
0,167,,2233.7288742857145,,,,,2007-01-01,17956913
0,168,,2233.7288742857145,,,,,2007-01-01,17956913
0,169,,2233.7288742857145,,,,,2007-01-01,17956913
0,172,,4281.390053035428,,,,,2007-01-01,17956955
0,173,,4281.390053035428,,,,,2007-01-01,17956955
0,174,,4281.390053035428,,,,,2007-01-01,17956955
0,175,,4281.390053035428,,,,,2007-01-01,17956955
0,176,,365.28183666666666,,,,,2007-01-01,17956961
0,177,,365.28183666666666,,,,,2007-01-01,17956961
0,178,,273.7493092156863,,,,,2007-01-01,17957815
0,179,,273.7493092156863,,,,,2007-01-01,17957815
0,180,,273.7493092156863,,,,,2007-01-01,17957815
0,181,,273.7493092156863,,,,,2007-01-01,17957815
0,182,,273.7493092156863,,,,,2007-01-01,17957815
0,183,,273.7493092156863,,,,,2007-01-01,17957815
0,184,,2091.415099895023,,,,,2007-01-01,17958207
0,185,,5327.389797142857,,,,,2007-01-01,18022216
0,188,,287.0398092962785,,,,,2007-01-01,18047170
0,189,,287.0398092962785,,,,,2007-01-01,18047170
0,190,,287.0398092962785,,,,,2007-01-01,18047170
0,191,,287.0398092962785,,,,,2007-01-01,18047170
0,192,,287.0398092962785,,,,,2007-01-01,18047170
0,193,,287.0398092962785,,,,,2007-01-01,18047170
0,194,,287.0398092962785,,,,,2007-01-01,18047170
0,195,22958953.446651585,,18047162,estimated,0.0,221.0,2000-07-01,18046670
1,1,,2601.1922855555554,,,,,1998-04-01,17955471
1,2,,2601.1922855555554,,,,,1998-04-01,17955471
1,3,,2601.1922855555554,,,,,1998-04-01,17955471
1,4,,637.9307166666667,,,,,1998-04-01,17955445
1,5,,637.9307166666667,,,,,1998-04-01,17955445
1,6,,637.9307166666667,,,,,1998-04-01,17955445
1,9,,405.55055,,,,,1998-04-01,17957809
1,10,,405.55055,,,,,1998-04-01,17957809
1,13,,811.1011,,,,,1998-04-01,17955543
1,14,,336.11328,,,,,1998-04-01,17979087
1,15,,373.93901999999997,,,,,1998-04-01,17955663
1,16,,373.93901999999997,,,,,1998-04-01,17955663
1,17,,373.93901999999997,,,,,1998-04-01,17955663
1,18,,373.93901999999997,,,,,1998-04-01,17955663
1,19,,373.93901999999997,,,,,1998-04-01,17955663
1,22,,336.11328,,,,,1998-04-01,17979089
1,23,,468.7624333333333,,,,,1998-04-01,17955739
1,24,,336.11328,,,,,1998-04-01,17958139
1,25,,3379.3469474,,,,,1998-04-01,17955893
1,26,,3379.3469474,,,,,1998-04-01,17955893
1,27,,3379.3469474,,,,,1998-04-01,17955893
1,28,,3379.3469474,,,,,1998-04-01,17955893
1,29,,3379.3469474,,,,,1998-04-01,17955893
1,30,,399.7185,,,,,1998-04-01,938030572
1,31,,399.7185,,,,,1998-04-01,938030572
1,32,32174185.357777778,364.781635,17958153,estimated,0.0,81.0,1998-04-01,17958153
1,33,,364.781635,,,,,1998-04-01,17958153
1,34,,364.781635,,,,,1998-04-01,17958153
1,35,,364.781635,,,,,1998-04-01,17958153
1,36,,421.8738708333333,,,,,1998-04-01,17955879
1,37,,421.8738708333333,,,,,1998-04-01,17955879
1,38,,3676.3658,,,,,1998-04-01,17955835
1,39,,191.28141666666667,,,,,1998-04-01,17957903
1,40,,191.28141666666667,,,,,1998-04-01,17957903
1,41,,191.28141666666667,,,,,1998-04-01,17957903
1,42,,191.28141666666667,,,,,1998-04-01,17957903
1,43,,191.28141666666667,,,,,1998-04-01,17957903
1,44,,191.28141666666667,,,,,1998-04-01,17957903
1,45,,803.5149647916667,,,,,1998-04-01,17955819
1,46,,803.5149647916667,,,,,1998-04-01,17955819
1,47,,803.5149647916667,,,,,1998-04-01,17955819
1,48,,803.5149647916667,,,,,1998-04-01,17955819
1,49,,3745.5875905000003,,,,,1998-04-01,17955821
1,50,,3745.5875905000003,,,,,1998-04-01,17955821
1,52,,308.0152225,,,,,1998-04-01,17955907
1,53,,308.0152225,,,,,1998-04-01,17955907
1,54,,334.62749287500003,,,,,1998-04-01,17955933
1,55,,334.62749287500003,,,,,1998-04-01,17955933
1,56,,334.62749287500003,,,,,1998-04-01,17955933
1,57,,334.62749287500003,,,,,1998-04-01,17955933
1,58,,334.62749287500003,,,,,1998-04-01,17955933
1,59,,334.62749287500003,,,,,1998-04-01,17955933
1,60,,334.62749287500003,,,,,1998-04-01,17955933
1,61,,334.62749287500003,,,,,1998-04-01,17955933
1,62,,299.0954666666667,,,,,1998-04-01,17955905
1,63,,299.0954666666667,,,,,1998-04-01,17955905
1,64,,299.0954666666667,,,,,1998-04-01,17955905
1,65,,405.80199999999996,,,,,1998-04-01,17955829
1,66,,467.5410111666667,,,,,1998-04-01,17955969
1,67,,467.5410111666667,,,,,1998-04-01,17955969
1,70,,1472.1465777777778,,,,,1998-04-01,17955973
1,71,,1472.1465777777778,,,,,1998-04-01,17955973
1,72,,1472.1465777777778,,,,,1998-04-01,17955973
1,75,,665.5096109333333,,,,,1998-04-01,17957969
1,76,,665.5096109333333,,,,,1998-04-01,17957969
1,77,,665.5096109333333,,,,,1998-04-01,17957969
1,78,,665.5096109333333,,,,,1998-04-01,17957969
1,79,,665.5096109333333,,,,,1998-04-01,17957969
1,84,,681.0110873333334,,,,,1998-04-01,17956121
1,85,,681.0110873333334,,,,,1998-04-01,17956121
1,86,,681.0110873333334,,,,,1998-04-01,17956121
1,87,,681.0110873333334,,,,,1998-04-01,17956121
1,88,,681.0110873333334,,,,,1998-04-01,17956121
1,90,,1203.4137176666666,,,,,1998-04-01,17956161
1,91,,1137.1753956333334,,,,,1998-04-01,17956107
1,92,,1137.1753956333334,,,,,1998-04-01,17956107
1,93,,1137.1753956333334,,,,,1998-04-01,17956107
1,94,,1137.1753956333334,,,,,1998-04-01,17956107
1,95,,1137.1753956333334,,,,,1998-04-01,17956107
1,96,,1137.1753956333334,,,,,1998-04-01,17956107
1,97,,1137.1753956333334,,,,,1998-04-01,17956107
1,98,,1137.1753956333334,,,,,1998-04-01,17956107
1,99,,1137.1753956333334,,,,,1998-04-01,17956107
1,100,,1137.1753956333334,,,,,1998-04-01,17956107
1,101,,736.0537599999999,,,,,1998-04-01,17956091
1,102,,325.38625,,,,,1998-04-01,17956151
1,103,,325.38625,,,,,1998-04-01,17956151
1,104,,993.6722791666666,,,,,1998-04-01,17956169
1,105,,993.6722791666666,,,,,1998-04-01,17956169
1,106,,993.6722791666666,,,,,1998-04-01,17956169
1,107,,993.6722791666666,,,,,1998-04-01,17956169
1,110,,1787.6831,,,,,1998-04-01,17957955
1,111,,944.6932583333335,,,,,1998-04-01,17957983
1,112,,944.6932583333335,,,,,1998-04-01,17957983
1,113,,944.6932583333335,,,,,1998-04-01,17957983
1,114,,944.6932583333335,,,,,1998-04-01,17957983
1,115,,7229.412557777779,,,,,1998-04-01,17956813
1,116,,7229.412557777779,,,,,1998-04-01,17956813
1,117,,7229.412557777779,,,,,1998-04-01,17956813
1,120,,108.73534666666666,,,,,1998-04-01,17958269
1,121,,108.73534666666666,,,,,1998-04-01,17958269
1,122,,108.73534666666666,,,,,1998-04-01,17958269
1,124,,5219.905857999999,,,,,1998-04-01,17958265
1,126,,3113.333607266666,,,,,1998-04-01,17956335
1,127,,1958.99215,,,,,1998-04-01,17956705
1,128,,211.59155333333334,,,,,1998-04-01,17958031
1,129,,211.59155333333334,,,,,1998-04-01,17958031
1,130,,211.59155333333334,,,,,1998-04-01,17958031
1,131,,211.59155333333334,,,,,1998-04-01,17958031
1,132,,211.59155333333334,,,,,1998-04-01,17958031
1,133,,466.4911466666666,,,,,1998-04-01,17958025
1,134,,466.4911466666666,,,,,1998-04-01,17958025
1,135,,466.4911466666666,,,,,1998-04-01,17958025
1,136,,466.4911466666666,,,,,1998-04-01,17958025
1,137,,466.4911466666666,,,,,1998-04-01,17958025
1,138,,283.3596824,,,,,1998-04-01,17958237
1,141,,283.3596824,,,,,1998-04-01,17958241
1,142,,433.3016333333333,,,,,1998-04-01,17956823
1,143,,433.3016333333333,,,,,1998-04-01,17956823
