,rno,node,k,i,j,iseg,ireach,rchlen,width,slope,strtop,strthick,strhc1,thts,thti,eps,uhc,outreach,outseg,asum,line_id,name,geometry
539,28,13586,0,84,146,3,19,254.64177,4.079722,0.008823515022222514,1346.4809332956181,1,1.0,0.0,0.0,0.0,0.0,29,6,1118.0728,1815711,None,"LINESTRING (693889.4 5141046.369870148, 693885.4076220858 5141047.454704597, 693814.3224358289 5141045.113326161, 693813.2000000001 5141047.182420427)"
540,29,13585,0,84,145,3,20,221.87613,4.210979,0.010041173716264137,1344.234097817951,1,1.0,0.0,0.0,0.0,0.0,30,6,1190.6941,1815711,None,"LINESTRING (693813.2000000001 5141047.182420427, 693803.4924220548 5141065.07733553, 693787.0637741991 5141109.4)"
541,30,13425,0,83,145,3,21,250.62552,4.337258,0.009481350915608101,1342.0062010616596,1,1.0,0.0,0.0,0.0,0.0,31,6,1262.7032,1815711,None,"LINESTRING (693787.0637741991 5141109.4, 693786.7437335728 5141110.263434011, 693782.2609481773 5141185.6)"
542,31,13265,0,82,145,3,22,253.3421,4.4680634,0.009396603864199018,1339.6299325695215,1,1.0,0.0,0.0,0.0,0.0,32,6,1339.5079,1815711,None,"LINESTRING (693782.2609481773 5141185.6, 693781.0087245663 5141206.644555646, 693770.1834762082 5141226.6310051065, 693737 5141230.489801513)"
543,32,13264,0,82,144,3,23,251.53546,4.595419,0.009403977689778532,1337.2493771944269,1,1.0,0.0,0.0,0.0,0.0,33,6,1416.4513,1815711,None,"LINESTRING (693737 5141230.489801513, 693668.1399537353 5141238.497307943, 693660.8 5141238.255221627)"
544,33,13263,0,82,143,3,24,250.13594,4.7186046,0.009649844628223119,1334.8839433269907,1,1.0,0.0,0.0,0.0,0.0,34,6,1492.906,1815711,None,"LINESTRING (693660.8 5141238.255221627, 693584.6 5141235.7419936145)"
545,34,13262,0,82,142,3,25,261.7864,4.841117,0.009234849002022096,1332.4701703647318,1,1.0,0.0,0.0,0.0,0.0,35,6,1570.923,1815711,None,"LINESTRING (693584.6 5141235.7419936145, 693569.1437937205 5141235.232217098, 693509.9868688278 5141256.134206062, 693508.4 5141256.138586196)"
546,35,13261,0,82,141,3,26,250.93889,4.960828,0.005473634228777989,1330.052612420958,1,1.0,0.0,0.0,0.0,0.0,36,6,1649.0624,1815711,None,"LINESTRING (693508.4 5141256.138586196, 693438.8287408627 5141256.330619361, 693432.2 5141258.2984075425)"
547,36,13260,0,82,140,3,27,40.368492,5.027588,0.030459936221282728,1328.6790647312603,1,1.0,0.0,0.0,0.0,0.0,37,6,1693.4575,1815711,None,"LINESTRING (693432.2 5141258.2984075425, 693420.4044473945 5141261.8)"
548,37,13100,0,81,140,3,28,220.41447,5.086619,0.010293760521310476,1327.4494430357388,1,1.0,0.0,0.0,0.0,0.0,38,6,1733.2009,1815711,None,"LINESTRING (693420.4044473945 5141261.8, 693356 5141280.9189115735)"
