lakeno,cellid,claktype,bedleak,belev,telev,connlen,connwidth,zone,iconn
1,"(np.int64(0), np.int64(46), np.int64(35))",vertical,0.045,0.0,0.0,0.0,0.0,littoral,130
1,"(np.int64(0), np.int64(38), np.int64(40))",vertical,0.025,0.0,0.0,0.0,0.0,profundal,131
1,"(np.int64(0), np.int64(38), np.int64(49))",vertical,0.025,0.0,0.0,0.0,0.0,profundal,132
1,"(np.int64(0), np.int64(41), np.int64(41))",vertical,0.025,0.0,0.0,0.0,0.0,profundal,133
1,"(np.int64(0), np.int64(41), np.int64(50))",vertical,0.025,0.0,0.0,0.0,0.0,profundal,134
1,"(np.int64(0), np.int64(33), np.int64(46))",vertical,0.025,0.0,0.0,0.0,0.0,profundal,135
1,"(np.int64(2), np.int64(34), np.int64(38))",vertical,0.025,0.0,0.0,0.0,0.0,profundal,136
1,"(np.int64(0), np.int64(37), np.int64(34))",vertical,0.025,0.0,0.0,0.0,0.0,profundal,137
1,"(np.int64(0), np.int64(34), np.int64(47))",vertical,0.025,0.0,0.0,0.0,0.0,profundal,138
1,"(np.int64(0), np.int64(45), np.int64(47))",vertical,0.045,0.0,0.0,0.0,0.0,littoral,139
1,"(np.int64(0), np.int64(37), np.int64(43))",vertical,0.025,0.0,0.0,0.0,0.0,profundal,140
1,"(np.int64(0), np.int64(37), np.int64(52))",vertical,0.025,0.0,0.0,0.0,0.0,profundal,141
1,"(np.int64(0), np.int64(38), np.int64(35))",vertical,0.025,0.0,0.0,0.0,0.0,profundal,142
1,"(np.int64(0), np.int64(40), np.int64(53))",vertical,0.025,0.0,0.0,0.0,0.0,profundal,143
1,"(np.int64(0), np.int64(41), np.int64(36))",vertical,0.025,0.0,0.0,0.0,0.0,profundal,144
1,"(np.int64(0), np.int64(33), np.int64(32))",vertical,0.045,0.0,0.0,0.0,0.0,littoral,145
1,"(np.int64(0), np.int64(44), np.int64(32))",vertical,0.025,0.0,0.0,0.0,0.0,profundal,146
1,"(np.int64(0), np.int64(41), np.int64(45))",vertical,0.025,0.0,0.0,0.0,0.0,profundal,147
1,"(np.int64(1), np.int64(33), np.int64(41))",vertical,0.025,0.0,0.0,0.0,0.0,profundal,148
1,"(np.int64(0), np.int64(33), np.int64(50))",vertical,0.025,0.0,0.0,0.0,0.0,profundal,149
1,"(np.int64(0), np.int64(44), np.int64(50))",vertical,0.025,0.0,0.0,0.0,0.0,profundal,150
1,"(np.int64(0), np.int64(34), np.int64(33))",vertical,0.025,0.0,0.0,0.0,0.0,profundal,151
