per,nseg,icalc,outseg,iupseg,iprior,nstrpts,flow,runoff,etsw,pptsw,roughch,roughbk,cdpth,fdpth,awdth,bwdth,hcond1,thickm1,elevup,width1,depth1,thts1,thti1,eps1,uhc1,hcond2,thickm2,elevdn,width2,depth2,thts2,thti2,eps2,uhc2
0,1,1,3,0,0,0,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.721344,3.2644298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.721344,3.4341133,0.0,0.0,0.0,0.0,0.0
0,2,1,4,0,0,0,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.34655,17.580376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.34655,17.646158,0.0,0.0,0.0,0.0,0.0
0,3,1,5,0,0,0,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.721344,3.6624765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.943607,3.740504,0.0,0.0,0.0,0.0,0.0
0,4,1,6,0,0,0,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.34655,17.646158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.34655,17.672617,0.0,0.0,0.0,0.0,0.0
0,5,1,8,0,0,0,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.943607,3.876898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.28889,3.930134,0.0,0.0,0.0,0.0,0.0
0,6,1,8,0,0,0,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.34655,17.709545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.21145,17.716412,0.0,0.0,0.0,0.0,0.0
0,7,1,9,0,0,0,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.919914,19.473698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.919914,19.484123,0.0,0.0,0.0,0.0,0.0
0,8,1,10,0,0,0,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.21145,18.501558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.58865,18.551554,0.0,0.0,0.0,0.0,0.0
0,9,1,11,0,0,0,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.919914,19.531046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.919914,19.539062,0.0,0.0,0.0,0.0,0.0
0,10,1,12,0,0,0,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.58865,18.55541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.63803,18.560635,0.0,0.0,0.0,0.0,0.0
0,11,1,13,0,0,0,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.919914,19.631117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.919914,19.655064,0.0,0.0,0.0,0.0,0.0
0,12,1,15,0,0,0,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.63803,18.791382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.596275,18.796686,0.0,0.0,0.0,0.0,0.0
0,13,1,16,0,0,0,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.919914,19.804781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.919914,19.822218,0.0,0.0,0.0,0.0,0.0
0,14,1,17,0,0,0,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.272747,4.004176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.272747,4.2375627,0.0,0.0,0.0,0.0,0.0
0,15,1,18,0,0,0,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.596275,18.82499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.571167,18.84257,0.0,0.0,0.0,0.0,0.0
0,16,1,19,0,0,0,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.919914,19.84297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.919914,19.892342,0.0,0.0,0.0,0.0,0.0
0,17,1,20,0,0,0,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.272747,4.3316317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.07818,4.4587855,0.0,0.0,0.0,0.0,0.0
0,18,1,23,0,0,0,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.504383,18.98248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.488277,18.99876,0.0,0.0,0.0,0.0,0.0
0,19,1,24,0,0,0,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.919914,19.892342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.919914,19.946398,0.0,0.0,0.0,0.0,0.0
0,20,1,25,0,0,0,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.609005,5.1435466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.725353,5.2741303,0.0,0.0,0.0,0.0,0.0
0,21,1,25,0,0,0,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.325695,3.2306244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.725353,3.369859,0.0,0.0,0.0,0.0,0.0
0,22,1,26,0,0,0,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.706673,4.046998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.706673,4.0987263,0.0,0.0,0.0,0.0,0.0
0,23,1,27,0,0,0,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.488277,19.71239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.459454,19.737173,0.0,0.0,0.0,0.0,0.0
0,24,1,27,0,0,0,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.919914,22.018387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.919914,22.097477,0.0,0.0,0.0,0.0,0.0
0,25,1,28,0,0,0,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.725353,6.2962756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.15375,6.3643208,0.0,0.0,0.0,0.0,0.0
0,26,1,29,0,0,0,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.706673,4.2882633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.051258,4.3242726,0.0,0.0,0.0,0.0,0.0
