#k i j q boundname
6 28 17 -0 perimeter-fluxes
6 28 18 -0 perimeter-fluxes
6 28 19 -0 perimeter-fluxes
6 28 20 -0 perimeter-fluxes
6 28 21 -0 perimeter-fluxes
6 4 12 214.532 perimeter-fluxes
6 4 13 212.201 perimeter-fluxes
6 4 14 154.798 perimeter-fluxes
6 4 15 122.708 perimeter-fluxes
6 4 16 98.4315 perimeter-fluxes
6 4 24 -27.1038 perimeter-fluxes
6 4 25 -14.7621 perimeter-fluxes
6 4 26 -10.7015 perimeter-fluxes
6 4 27 1.0912 perimeter-fluxes
6 5 9 205.415 perimeter-fluxes
6 5 10 236.112 perimeter-fluxes
6 5 11 156.442 perimeter-fluxes
6 5 17 100.665 perimeter-fluxes
6 5 23 -31.8884 perimeter-fluxes
6 5 28 -12.057 perimeter-fluxes
6 5 32 17.394 perimeter-fluxes
6 5 33 14.6364 perimeter-fluxes
6 6 8 262.975 perimeter-fluxes
6 6 18 113.963 perimeter-fluxes
6 6 29 -2.89594 perimeter-fluxes
6 7 7 0.27375 perimeter-fluxes
6 7 19 98.4729 perimeter-fluxes
6 7 22 30.2901 perimeter-fluxes
6 7 30 50.6263 perimeter-fluxes
6 7 31 -5.18505 perimeter-fluxes
6 8 6 0.145294 perimeter-fluxes
6 8 20 115.195 perimeter-fluxes
6 8 21 109.656 perimeter-fluxes
6 9 5 0.419225 perimeter-fluxes
6 10 4 0.253879 perimeter-fluxes
6 18 34 144.836 perimeter-fluxes
6 18 35 0 perimeter-fluxes
7 4 16 277.157 perimeter-fluxes
7 4 27 13.5413 perimeter-fluxes
7 5 17 273.135 perimeter-fluxes
7 5 28 2.83783 perimeter-fluxes
7 6 18 290.219 perimeter-fluxes
7 6 29 -0 perimeter-fluxes
7 7 19 323.905 perimeter-fluxes
7 7 30 -0 perimeter-fluxes
7 8 30 -0 perimeter-fluxes
7 13 33 -0 perimeter-fluxes
7 14 33 -0.126129 perimeter-fluxes
7 15 33 -1.33734 perimeter-fluxes
7 16 33 -4.22032 perimeter-fluxes
7 17 33 -5.83494 perimeter-fluxes
7 18 34 -0 perimeter-fluxes
7 19 35 -0 perimeter-fluxes
7 20 35 -0 perimeter-fluxes
7 21 35 -0 perimeter-fluxes
7 22 35 -0 perimeter-fluxes
7 23 35 -0 perimeter-fluxes
7 24 35 -0 perimeter-fluxes
7 25 35 -0 perimeter-fluxes
7 26 35 -0 perimeter-fluxes
7 27 35 -0 perimeter-fluxes
7 28 21 -0 perimeter-fluxes
7 4 12 -301.304 perimeter-fluxes
7 4 24 -93.9104 perimeter-fluxes
7 5 9 -349.815 perimeter-fluxes
7 5 23 -129.963 perimeter-fluxes
7 6 8 -264.813 perimeter-fluxes
7 6 23 -132.386 perimeter-fluxes
7 7 7 -291.7 perimeter-fluxes
7 7 22 -191.743 perimeter-fluxes
7 8 6 -568.065 perimeter-fluxes
7 9 5 -242.898 perimeter-fluxes
7 10 4 -8.85455 perimeter-fluxes
7 11 4 20.3406 perimeter-fluxes
7 12 4 -84.2155 perimeter-fluxes
7 13 4 26.5889 perimeter-fluxes
7 14 4 -72.9161 perimeter-fluxes
7 15 4 56.7366 perimeter-fluxes
7 16 4 54.1784 perimeter-fluxes
7 17 5 -188.349 perimeter-fluxes
7 18 5 -105.859 perimeter-fluxes
7 19 5 -160.679 perimeter-fluxes
7 20 5 -143.074 perimeter-fluxes
7 21 5 -47.1588 perimeter-fluxes
7 22 5 -90.4689 perimeter-fluxes
7 23 5 -33.8465 perimeter-fluxes
7 24 5 -69.7337 perimeter-fluxes
7 25 5 -129.895 perimeter-fluxes
7 26 5 -165.385 perimeter-fluxes
7 27 10 -412.536 perimeter-fluxes
7 28 11 0 perimeter-fluxes
7 16 4 -148.823 perimeter-fluxes
7 26 5 -145.217 perimeter-fluxes
7 26 6 -145.249 perimeter-fluxes
7 26 7 -132.87 perimeter-fluxes
7 26 8 -165.25 perimeter-fluxes
7 26 9 -203.945 perimeter-fluxes
7 27 10 -0 perimeter-fluxes
7 27 22 -0 perimeter-fluxes
7 27 23 -0 perimeter-fluxes
7 27 24 -0 perimeter-fluxes
7 27 25 -0 perimeter-fluxes
7 27 26 -0 perimeter-fluxes
7 27 27 -0 perimeter-fluxes
7 27 28 -0 perimeter-fluxes
7 27 29 -0 perimeter-fluxes
7 27 30 -0 perimeter-fluxes
7 27 31 -0 perimeter-fluxes
7 27 32 -0 perimeter-fluxes
7 27 33 -0 perimeter-fluxes
7 27 34 -0 perimeter-fluxes
7 27 35 -0 perimeter-fluxes
7 28 11 -0 perimeter-fluxes
7 28 12 -0 perimeter-fluxes
7 28 13 -0 perimeter-fluxes
7 28 14 -0 perimeter-fluxes
7 28 15 -0 perimeter-fluxes
7 28 16 -0 perimeter-fluxes
7 28 17 -0 perimeter-fluxes
7 28 18 -0 perimeter-fluxes
7 28 19 -0 perimeter-fluxes
7 28 20 -0 perimeter-fluxes
7 28 21 -0 perimeter-fluxes
7 4 12 167.57 perimeter-fluxes
7 4 13 163.138 perimeter-fluxes
7 4 14 116.598 perimeter-fluxes
7 4 15 91.9005 perimeter-fluxes
7 4 16 72.682 perimeter-fluxes
7 4 24 -12.2531 perimeter-fluxes
7 4 25 -5.93148 perimeter-fluxes
7 4 26 -3.44705 perimeter-fluxes
7 4 27 0.258824 perimeter-fluxes
7 5 9 164.702 perimeter-fluxes
7 5 10 189.2 perimeter-fluxes
7 5 11 122.239 perimeter-fluxes
7 5 17 73.5924 perimeter-fluxes
7 5 23 -16.5805 perimeter-fluxes
7 5 28 -1.77963 perimeter-fluxes
7 6 8 344.134 perimeter-fluxes
7 6 18 83.3106 perimeter-fluxes
7 6 29 -0.158195 perimeter-fluxes
7 7 7 300.935 perimeter-fluxes
7 7 19 69.9511 perimeter-fluxes
7 7 22 18.001 perimeter-fluxes
7 7 30 1.1864 perimeter-fluxes
7 8 6 168.099 perimeter-fluxes
7 8 20 80.5451 perimeter-fluxes
7 8 21 72.7632 perimeter-fluxes
7 9 5 511.728 perimeter-fluxes
7 10 4 315.769 perimeter-fluxes
7 13 33 1.83858 perimeter-fluxes
7 18 34 20.2292 perimeter-fluxes
7 19 35 0 perimeter-fluxes
8 4 16 155.405 perimeter-fluxes
8 4 27 35.2473 perimeter-fluxes
8 5 17 157.445 perimeter-fluxes
8 5 28 14.1983 perimeter-fluxes
8 5 33 -0.690989 perimeter-fluxes
8 6 18 171.778 perimeter-fluxes
8 6 29 -1.36036 perimeter-fluxes
8 6 33 0.670898 perimeter-fluxes
8 7 19 199.186 perimeter-fluxes
8 7 33 1.18261 perimeter-fluxes
8 8 33 0.50752 perimeter-fluxes
8 9 33 -0.0710724 perimeter-fluxes
8 10 33 -0.0773027 perimeter-fluxes
8 11 33 1.93864 perimeter-fluxes
8 12 33 7.86877 perimeter-fluxes
8 13 33 5.44494 perimeter-fluxes
8 14 33 -1.26539 perimeter-fluxes
8 15 33 -10.7291 perimeter-fluxes
8 16 33 -20.396 perimeter-fluxes
8 17 33 -21.8196 perimeter-fluxes
8 18 35 -0 perimeter-fluxes
8 19 35 -0 perimeter-fluxes
8 20 35 -0 perimeter-fluxes
8 21 35 -0 perimeter-fluxes
8 22 35 -0 perimeter-fluxes
8 23 35 -0 perimeter-fluxes
8 24 35 -0 perimeter-fluxes
8 25 35 -0 perimeter-fluxes
8 26 35 -0 perimeter-fluxes
8 27 35 -0 perimeter-fluxes
8 28 21 -0 perimeter-fluxes
8 4 12 -146.072 perimeter-fluxes
8 4 24 -111.378 perimeter-fluxes
8 5 9 -156.958 perimeter-fluxes
8 5 23 -127.612 perimeter-fluxes
8 5 32 -22.2159 perimeter-fluxes
8 6 8 -121.816 perimeter-fluxes
8 6 23 -126.921 perimeter-fluxes
8 6 32 -24.0336 perimeter-fluxes
8 7 7 -144.504 perimeter-fluxes
8 7 22 -152.577 perimeter-fluxes
8 8 6 -278.682 perimeter-fluxes
8 9 5 -118.46 perimeter-fluxes
8 10 4 -5.05975 perimeter-fluxes
8 11 4 9.5417 perimeter-fluxes
8 12 4 -43.362 perimeter-fluxes
8 13 4 12.9504 perimeter-fluxes
8 14 4 -38.2575 perimeter-fluxes
8 15 4 29.0014 perimeter-fluxes
8 16 4 27.5906 perimeter-fluxes
8 17 5 -95.6186 perimeter-fluxes
8 18 5 -53.4644 perimeter-fluxes
8 19 5 -78.7891 perimeter-fluxes
8 20 5 -68.5189 perimeter-fluxes
8 21 5 -22.5033 perimeter-fluxes
8 22 5 -40.975 perimeter-fluxes
8 23 5 -15.2276 perimeter-fluxes
8 24 5 -30.239 perimeter-fluxes
8 25 5 -55.4855 perimeter-fluxes
8 26 5 -70.7479 perimeter-fluxes
8 27 10 -185.357 perimeter-fluxes
8 28 11 0 perimeter-fluxes
8 16 4 -78.3903 perimeter-fluxes
8 26 5 -62.27 perimeter-fluxes
8 26 6 -62.7458 perimeter-fluxes
8 26 7 -58.118 perimeter-fluxes
8 26 8 -72.8027 perimeter-fluxes
8 26 9 -90.07 perimeter-fluxes
8 27 10 -0 perimeter-fluxes
8 27 22 -0 perimeter-fluxes
8 27 23 -0 perimeter-fluxes
8 27 24 -0 perimeter-fluxes
8 27 25 -0 perimeter-fluxes
8 27 26 -0 perimeter-fluxes
8 27 27 -0 perimeter-fluxes
8 27 28 -0 perimeter-fluxes
8 27 29 -0 perimeter-fluxes
8 27 30 -0 perimeter-fluxes
8 27 31 -0 perimeter-fluxes
8 27 32 -0 perimeter-fluxes
8 27 33 -0 perimeter-fluxes
8 27 34 -0 perimeter-fluxes
8 27 35 -0 perimeter-fluxes
8 28 11 -0 perimeter-fluxes
8 28 12 -0 perimeter-fluxes
8 28 13 -0 perimeter-fluxes
8 28 14 -0 perimeter-fluxes
8 28 15 -0 perimeter-fluxes
8 28 16 -0 perimeter-fluxes
8 28 17 -0 perimeter-fluxes
8 28 18 -0 perimeter-fluxes
8 28 19 -0 perimeter-fluxes
8 28 20 -0 perimeter-fluxes
8 28 21 -0 perimeter-fluxes
8 4 12 81.2051 perimeter-fluxes
8 4 13 82.3269 perimeter-fluxes
8 4 14 60.9104 perimeter-fluxes
8 4 15 49.5223 perimeter-fluxes
8 4 16 40.725 perimeter-fluxes
8 4 24 -14.3687 perimeter-fluxes
8 4 25 -8.30282 perimeter-fluxes
