#k i j q boundname
6 10 4 0.294622 perimeter-fluxes
6 18 34 157.514 perimeter-fluxes
6 18 35 0 perimeter-fluxes
7 4 16 290.513 perimeter-fluxes
7 4 27 6.73094 perimeter-fluxes
7 5 17 304.221 perimeter-fluxes
7 5 28 0.366308 perimeter-fluxes
7 6 18 309.657 perimeter-fluxes
7 6 29 -0 perimeter-fluxes
7 7 19 304.617 perimeter-fluxes
7 7 30 -0 perimeter-fluxes
7 8 30 -0 perimeter-fluxes
7 13 33 -0 perimeter-fluxes
7 14 33 -0.671452 perimeter-fluxes
7 15 33 -2.4833 perimeter-fluxes
7 16 33 -7.85318 perimeter-fluxes
7 17 33 -12.3302 perimeter-fluxes
7 18 34 -0 perimeter-fluxes
7 19 35 -0 perimeter-fluxes
7 20 35 -0 perimeter-fluxes
7 21 35 -0 perimeter-fluxes
7 22 35 -0 perimeter-fluxes
7 23 35 -0 perimeter-fluxes
7 24 35 -0 perimeter-fluxes
7 25 35 -0 perimeter-fluxes
7 26 35 -0 perimeter-fluxes
7 27 35 -0 perimeter-fluxes
7 28 21 -0 perimeter-fluxes
7 4 12 -281.189 perimeter-fluxes
7 4 24 -94.8103 perimeter-fluxes
7 5 9 -250.173 perimeter-fluxes
7 5 23 -139.764 perimeter-fluxes
7 6 8 -249.912 perimeter-fluxes
7 6 23 -141.967 perimeter-fluxes
7 7 7 -369.971 perimeter-fluxes
7 7 22 -199.209 perimeter-fluxes
7 8 6 -329.392 perimeter-fluxes
7 9 5 -204.016 perimeter-fluxes
7 10 4 -155.292 perimeter-fluxes
7 11 4 -166.618 perimeter-fluxes
7 12 4 -172.89 perimeter-fluxes
7 13 4 -172.763 perimeter-fluxes
7 14 4 -173.764 perimeter-fluxes
7 15 4 -175.683 perimeter-fluxes
7 16 4 -163.746 perimeter-fluxes
7 17 5 -206.354 perimeter-fluxes
7 18 5 -195.585 perimeter-fluxes
7 19 5 -190.213 perimeter-fluxes
7 20 5 -187.995 perimeter-fluxes
7 21 5 -171.239 perimeter-fluxes
7 22 5 -156.382 perimeter-fluxes
7 23 5 -138.612 perimeter-fluxes
7 24 5 -131.585 perimeter-fluxes
7 25 5 -124.257 perimeter-fluxes
7 26 5 -130.759 perimeter-fluxes
7 27 10 -499.167 perimeter-fluxes
7 28 11 0 perimeter-fluxes
7 16 4 -208.421 perimeter-fluxes
7 26 5 -125.251 perimeter-fluxes
7 26 6 -118.816 perimeter-fluxes
7 26 7 -106.347 perimeter-fluxes
7 26 8 -86.5003 perimeter-fluxes
7 26 9 -72.7707 perimeter-fluxes
7 27 10 -0 perimeter-fluxes
7 27 22 -0 perimeter-fluxes
7 27 23 -0 perimeter-fluxes
7 27 24 -0 perimeter-fluxes
7 27 25 -0 perimeter-fluxes
7 27 26 -0 perimeter-fluxes
7 27 27 -0 perimeter-fluxes
7 27 28 -0 perimeter-fluxes
7 27 29 -0 perimeter-fluxes
7 27 30 -0 perimeter-fluxes
7 27 31 -0 perimeter-fluxes
7 27 32 -0 perimeter-fluxes
7 27 33 -0 perimeter-fluxes
7 27 34 -0 perimeter-fluxes
7 27 35 -0 perimeter-fluxes
7 28 11 -0 perimeter-fluxes
7 28 12 -0 perimeter-fluxes
7 28 13 -0 perimeter-fluxes
7 28 14 -0 perimeter-fluxes
7 28 15 -0 perimeter-fluxes
7 28 16 -0 perimeter-fluxes
7 28 17 -0 perimeter-fluxes
7 28 18 -0 perimeter-fluxes
7 28 19 -0 perimeter-fluxes
7 28 20 -0 perimeter-fluxes
7 28 21 -0 perimeter-fluxes
7 4 12 128.098 perimeter-fluxes
7 4 13 113.372 perimeter-fluxes
7 4 14 95.3634 perimeter-fluxes
7 4 15 79.0864 perimeter-fluxes
7 4 16 69.1871 perimeter-fluxes
7 4 24 -5.52382 perimeter-fluxes
7 4 25 -2.12476 perimeter-fluxes
7 4 26 -1.55804 perimeter-fluxes
