total_inner_iterations,totim,kper,kstp,nouter,inner_iterations,solution_outer_dvmax,solution_outer_dvmax_model,solution_outer_dvmax_package,solution_outer_dvmax_node
125,383.4872727272727,2,5,13,1,.3955923025041461E-01,1,SFR_0,123
130,603.7346833261525,2,6,1,5,-.2417972040175869,1,,812
132,603.7346833261525,2,6,2,2,1224.085591773935,1,SFR_0,69
133,603.7346833261525,2,6,3,1,241.6017197765794,1,SFR_0,123
134,603.7346833261525,2,6,4,1,56.66042163337131,1,SFR_0,123
135,603.7346833261525,2,6,5,1,12.72241172142726,1,SFR_0,123
136,603.7346833261525,2,6,6,1,7.150404527833232,1,SFR_0,123
137,603.7346833261525,2,6,7,1,1.907311685686289,1,SFR_0,123
138,603.7346833261525,2,6,8,1,1.329144430557747,1,SFR_0,123
139,603.7346833261525,2,6,9,1,.8297378465029096,1,SFR_0,123
140,603.7346833261525,2,6,10,1,.6071254667876090,1,SFR_0,123
141,603.7346833261525,2,6,11,1,.7107474782983331E-01,1,SFR_0,123
146,934.1057992244722,2,7,1,5,-.1843776970355648,1,,847
147,934.1057992244722,2,7,2,1,1180.957612680569,1,SFR_0,69
148,934.1057992244722,2,7,3,1,213.8589836485328,1,SFR_0,123
149,934.1057992244722,2,7,4,1,50.30439533174336,1,SFR_0,123
150,934.1057992244722,2,7,5,1,17.57373130466409,1,SFR_0,123
151,934.1057992244722,2,7,6,1,8.052105128645856,1,SFR_0,123
152,934.1057992244722,2,7,7,1,3.953523755123780,1,SFR_0,123
153,934.1057992244722,2,7,8,1,2.614772381613266,1,SFR_0,123
154,934.1057992244722,2,7,9,1,1.118668666761674,1,SFR_0,123
155,934.1057992244722,2,7,10,1,.1444803954541019,1,SFR_0,123
156,934.1057992244722,2,7,11,1,.6494910851880917E-01,1,SFR_0,172
160,1429.662473071952,2,8,1,4,-.1112703031913895,1,,847
161,1429.662473071952,2,8,2,1,940.5461285477733,1,SFR_0,69
162,1429.662473071952,2,8,3,1,128.5389261879373,1,SFR_0,123
163,1429.662473071952,2,8,4,1,40.01355997812399,1,SFR_0,123
164,1429.662473071952,2,8,5,1,15.30717742064146,1,SFR_0,123
165,1429.662473071952,2,8,6,1,7.310851507824348,1,SFR_0,123
166,1429.662473071952,2,8,7,1,2.737851798438307,1,SFR_0,123
167,1429.662473071952,2,8,8,1,1.439880196879406,1,SFR_0,123
168,1429.662473071952,2,8,9,1,1.327948645341422,1,SFR_0,123
169,1429.662473071952,2,8,10,1,1.083975993048594,1,SFR_0,123
170,1429.662473071952,2,8,11,1,.2850398862019711,1,SFR_0,172
171,1429.662473071952,2,8,12,1,.2785197425503211,1,SFR_0,172
172,1429.662473071952,2,8,13,1,.2558029537499273,1,SFR_0,172
173,1429.662473071952,2,8,14,1,.4321250626359753,1,SFR_0,172
174,1429.662473071952,2,8,15,1,.3498922510696940E-01,1,SFR_0,172
177,2172.997483843171,2,9,1,3,-17607780.21169903,1,SFR_0,35
178,2172.997483843171,2,9,2,1,686.4925266560565,1,SFR_0,69
179,2172.997483843171,2,9,3,1,49.63628845692764,1,SFR_0,89
180,2172.997483843171,2,9,4,1,-32.39030165630776,1,SFR_0,79
181,2172.997483843171,2,9,5,1,-23.11622002632797,1,SFR_0,79
182,2172.997483843171,2,9,6,1,-13.04009017734673,1,SFR_0,79
183,2172.997483843171,2,9,7,1,-8.454840884464760,1,SFR_0,79
184,2172.997483843171,2,9,8,1,-7.506416700020214,1,SFR_0,79
185,2172.997483843171,2,9,9,1,-.9760774179154217,1,SFR_0,79
186,2172.997483843171,2,9,10,1,-.7008134036565522,1,SFR_0,79
187,2172.997483843171,2,9,11,1,-.4620776977074627,1,SFR_0,79
188,2172.997483843171,2,9,12,1,.9219827165693575,1,SFR_0,172
189,2172.997483843171,2,9,13,1,.9305103008950494,1,SFR_0,172
190,2172.997483843171,2,9,14,1,.2753242665760843,1,SFR_0,172
191,2172.997483843171,2,9,15,1,1.194983440697351,1,SFR_0,172
192,2172.997483843171,2,9,16,1,.5012906988702252E-01,1,SFR_0,172
193,3288.000000000000,2,10,1,1,-26411651.26380866,1,SFR_0,35
194,3288.000000000000,2,10,2,1,166.2259513843725,1,SFR_0,69
195,3288.000000000000,2,10,3,1,89.45485342399074,1,SFR_0,123
196,3288.000000000000,2,10,4,1,69.97709204089837,1,SFR_0,123
197,3288.000000000000,2,10,5,1,14.83380880313482,1,SFR_0,123
198,3288.000000000000,2,10,6,1,27.77847748990362,1,SFR_0,123
199,3288.000000000000,2,10,7,1,-1.339138062692850,1,SFR_0,69
200,3288.000000000000,2,10,8,1,-.7764339863172715,1,SFR_0,69
201,3288.000000000000,2,10,9,1,.8342165972011200,1,SFR_0,172
202,3288.000000000000,2,10,10,1,1.418832114511069,1,SFR_0,172
203,3288.000000000000,2,10,11,1,1.172016353279467,1,SFR_0,172
204,3288.000000000000,2,10,12,1,1.338848148118801,1,SFR_0,172
205,3288.000000000000,2,10,13,1,.9147422759201541,1,SFR_0,172
206,3288.000000000000,2,10,14,1,.4945751696213226,1,SFR_0,172
207,3288.000000000000,2,10,15,1,.5284124101965565,1,SFR_0,172
208,3288.000000000000,2,10,16,1,.5552542823307094,1,SFR_0,172
209,3288.000000000000,2,10,17,1,.1651994220548352,1,SFR_0,172
210,3288.000000000000,2,10,18,1,.1525206714464532,1,SFR_0,172
211,3288.000000000000,2,10,19,1,.8346808047032377E-01,1,SFR_0,172
218,3301.876777251185,3,1,1,7,-8.604216556236295,1,,249
225,3301.876777251185,3,1,2,7,-1.324002174307097,1,,3582
229,3301.876777251185,3,1,3,4,.3166795865752263,1,,180
231,3301.876777251185,3,1,4,2,442.9448164528867,1,SFR_0,123
232,3301.876777251185,3,1,5,1,32.23880712044659,1,SFR_0,123
233,3301.876777251185,3,1,6,1,1.497902932960492,1,SFR_0,172
234,3301.876777251185,3,1,7,1,-.5785343934019376,1,SFR_0,89
235,3301.876777251185,3,1,8,1,-.3999810892605070,1,SFR_0,89
236,3301.876777251185,3,1,9,1,-.2265409479244979,1,SFR_0,89
237,3301.876777251185,3,1,10,1,-.1373787874366081,1,SFR_0,89
238,3301.876777251185,3,1,11,1,-.7815184862541967E-01,1,SFR_0,89
246,3322.691943127962,3,2,1,8,-.7649467896477447,1,,493
250,3322.691943127962,3,2,2,4,.2739521724921303,1,,458
253,3322.691943127962,3,2,3,3,175.8751901370480,1,SFR_0,123
255,3322.691943127962,3,2,4,2,21.85844103096924,1,SFR_0,123
256,3322.691943127962,3,2,5,1,1.457143206339960,1,SFR_0,123
257,3322.691943127962,3,2,6,1,-.3391809489303291,1,SFR_0,89
258,3322.691943127962,3,2,7,1,-.3243354100032457,1,SFR_0,123
259,3322.691943127962,3,2,8,1,-.2692318028689418,1,SFR_0,123
260,3322.691943127962,3,2,9,1,-.2615014249447934,1,SFR_0,123
261,3322.691943127962,3,2,10,1,-.1294244681308807,1,SFR_0,123
262,3322.691943127962,3,2,11,1,-.5973247655093842E-01,1,SFR_0,89
268,3353.914691943128,3,3,1,6,-.6036482460817112,1,,494
270,3353.914691943128,3,3,2,2,764.8763360174378,1,SFR_0,123
272,3353.914691943128,3,3,3,2,146.5417338392344,1,SFR_0,123
273,3353.914691943128,3,3,4,1,25.82577215099397,1,SFR_0,123
274,3353.914691943128,3,3,5,1,4.118259879721307,1,SFR_0,123
