time,A,B,C
177.6177913143,132.2390000327303,120.4823430783802,122.2503695260360
182.8879573763,132.7143627095573,120.5952182803119,122.4452703083851
188.1844742687,133.1800112412982,120.7079570278899,122.6383021107004
193.5074737455,133.6355915779520,120.8206142207815,122.8293520903488
198.8570882197,134.0806214538671,120.9332429717529,123.0183226067355
204.2334507662,134.5147476015436,121.0458942083006,123.2051304262546
209.6366951255,134.9377276575523,121.1586163026194,123.3897058266699
215.0669557066,135.3494135917840,121.2714547163225,123.5719915599563
220.5243675906,135.7497372267880,121.3844516602667,123.7519356549481
226.0090665340,136.1386976272917,121.4976457740444,123.9294889927024
231.5211889722,136.5163501453503,121.6110718310718,124.1046075813554
237.0608720225,136.8827969183291,121.7247604746491,124.2771969951370
242.6282534881,137.2381786576454,121.8387379895082,124.4471390057361
248.2234718610,137.5826675747403,121.9530261121680,124.6143520286279
253.8466663258,137.9164612743681,122.0676418821991,124.7787174676945
259.4979767629,138.2397775129361,122.1825975355606,124.9400368409306
265.1775437521,138.5528497121365,122.2979004401821,125.0981843721220
270.8855085764,138.8559231304276,122.4135530731879,125.2530900202808
276.6220132247,139.1492516057882,122.5295530384737,125.4047258838990
282.3872003963,139.4330947951443,122.6458931231258,125.5530957123833
288.1812135037,139.7077158440457,122.7625613434922,125.6982267480458
294.0041966767,139.9733674457121,122.8795406212757,125.8401621279835
299.8562947656,140.2300055177604,122.9968084562907,125.9789555462312
305.7376533449,140.4776877407181,123.1143366900398,126.1146675072748
311.6484187171,140.7165365932429,123.2320913881954,126.2473626851764
317.5887379161,140.9454015078600,123.3500328712959,126.3771079063515
323.5587587111,141.1614132481310,123.4681158802691,126.5039708942443
329.5586296102,141.3656721070457,123.5862898877155,126.6280194946091
335.5884998637,141.5591289802094,123.7044995209061,126.7493212081461
341.6485194685,141.7426129542710,123.8226850588325,126.8679429070736
347.7388391713,141.9168525989062,123.9407829730398,126.9839354052643
353.8596104726,142.0824929092661,124.0587264898351,127.0973392897134
360.0109856304,142.2401088647507,124.1764461580026,127.2081903906270
366.1931176640,142.3902163422570,124.2938699502095,127.3165231913605
372.4061603578,142.5332809513566,124.4109228730900,127.4223728533434
378.6502682651,142.6697252297701,124.5275266442244,127.5257763031285
384.9255967119,142.7999345384587,124.6435996334756,127.6267727000401
391.2323018009,142.9242619195031,124.7590571237655,127.7254035071148
397.5705404154,143.0430321223004,124.8738118615042,127.8217123196064
403.9404702229,143.1565449598224,124.9877748111570,127.9157445561085
410.3422496795,143.2650767842404,125.1008560210454,128.0075459852678
416.7760380333,143.3688821589621,125.2129655129553,128.0971617796176
423.2419953290,143.4681959576390,125.3240141588706,128.1846361468389
429.7402824111,143.5632355198093,125.4339145215234,128.2700121849098
436.2710609286,143.6542026776353,125.5425816304359,128.3533318140131
442.8344933387,143.7412855671824,125.6499336721748,128.4346357683528
449.4307429109,143.8246601912516,125.7558925841113,128.5139636320015
456.0599737309,143.9044917480262,125.8603842370623,128.5913539338999
462.7223507050,143.9809357553897,125.9633380741477,128.6668442210256
469.4180395640,144.0541390033463,126.0646739513210,128.7404711210515
476.1472068673,144.1242403646646,126.1643038915811,128.8122704077000
482.9100200071,144.1913612808495,126.2621385245986,128.8822770633050
489.7066472126,144.2556104835516,126.3580881081802,128.9505253358108
496.5372575541,144.3170904458842,126.4520651256499,129.0170487895111
503.4020209474,144.3759006308815,126.5439882738399,129.0818803496590
510.3011081576,144.4321389126367,126.6337837628705,129.1444115681393
517.2346908038,144.4859019865762,126.7213864391983,129.2040002253235
524.2029413633,144.5372852731855,126.8067409241982,129.2609735088094
531.2060331756,144.5863826095882,126.8898025461866,129.3155922502543
538.2441404469,144.6332858853791,126.9705378793384,129.3680667917669
545.3174382546,144.6780846143455,127.0489248187531,129.4185687317185
552.4261025514,144.7208655958177,127.1249522464259,129.4672397736182
559.5703101696,144.7617126962492,127.1986193769796,129.5141983879504
566.7502388259,144.8007067404411,127.2699348834923,129.5595448471436
573.9660671255,144.8379254883825,127.3389158975654,129.6033650652202
581.2179745666,144.8734436724304,127.4055868930596,129.6457335338064
588.5061415449,144.9073330734959,127.4699785787187,129.6867155835360
595.8307493581,144.9396626198603,127.5321268764003,129.7263691405830
603.1919802103,144.9704984969537,127.5920715399918,129.7647460983808
610.5900172168,144.9999042603802,127.6498551026872,129.8018933968036
618.0250444084,145.0279409472499,127.7055222823583,129.8378538794598
625.4972467359,145.0546671386437,127.7591196556361,129.8726669810740
633.0068100750,145.0801390306251,127.8106954434627,129.9063692831282
640.5539212309,145.1044105259313,127.8602993155252,129.9389949660618
648.1387679425,145.1275333389147,127.9079821748698,129.9705761789644
655.7615388877,145.1495571038931,127.9537959166976,130.0011433427616
663.4224236876,145.1705294795807,127.9977931702693,130.0307255051130
671.1216129115,145.1904962453105,128.0400269626071,130.0593507747616
678.8592980815,145.2095013877533,128.0805503429745,130.0870460266603
686.6356716774,145.2275871780751,128.1194160700193,130.1138370381042
694.4509271412,145.2447942406155,128.1566763932460,130.1397486363254
702.3052588824,145.2611616146181,128.1923829181653,130.1648048166463
710.1988622823,145.2767268102734,128.2265862684508,130.1890287993297
718.1319336991,145.2915258605211,128.2593025457111,130.2124430660279
726.1046704731,145.3055933695483,128.2905519014532,130.2350694065136
734.1172709309,145.3189625590137,128.3203665696591,130.2569289755429
742.1699343911,145.3316653124618,128.3487893444087,130.2780423532446
750.2628611685,145.3437322184622,128.3758699338985,130.2984296031020
758.3962525798,145.3551926127934,128.4016616466836,130.3181103241851
766.5703109482,145.3660746198182,128.4262189841782,130.3371036948176
774.7852396084,145.3764051931947,128.4495960806450,130.3554285076592
783.0412429119,145.3862101558582,128.4718457760906,130.3731031974662
791.3385262319,145.3955142394349,128.4930191149010,130.3901458622587
799.6772959685,145.4043411229045,128.5131651124356,130.4065742787755
808.0577595538,145.4127134705483,128.5323306815978,130.4224059130718
816.4801254571,145.4206529691264,128.5505606496883,130.4376315825780
824.9446031898,145.4281803641974,128.5678978228237,130.4522447365348
833.4514033112,145.4353154956317,128.5843830724130,130.4662515582608
842.0007374332,145.4420773320909,128.6000554293780,130.4796658677071
850.5928182259,145.4484840047188,128.6149521782651,130.4925058373665
859.2278594225,145.4545528397237,128.6291089473451,130.5047916514146
867.9060758250,145.4603003900898,128.6425597931622,130.5165437869898
876.6276833096,145.4657424662767,128.6553372789589,130.5277827975801
885.3928988316,145.4708941658941,128.6674725472005,130.5385290767831
894.2019404313,145.4757699024724,128.6789953867382,130.5488026585816
903.0550272389,145.4803834332136,128.6899342950188,130.5586229312606
911.9523794805,145.4847478858022,128.7003165360462,130.5680085396547
920.8942184834,145.4888757843228,128.7101681945562,130.5769773740243
929.8807666813,145.4927790741811,128.7195142267798,130.5855465920512
938.9122476202,145.4964691462309,128.7283785083505,130.5937326514610
947.9888859637,145.4999568599525,128.7367838795286,130.6015513441688
957.1109074990,145.5032525658058,128.7447521881337,130.6090178287543
966.2785391420,145.5063661267873,128.7523043303031,130.6161466604344
975.4920089432,145.5093069391632,128.7594602893860,130.6229518185683
984.7515460933,145.5120839524476,128.7662391730611,130.6294467321200
994.0573809293,145.5147056886073,128.7726592488357,130.6356443032434
1003.409744939,145.5171802605194,128.7787379780361,130.6415569293958
1012.808870770,145.5195153897992,128.7844920484031,130.6471965241533
1022.254992229,145.5217184238940,128.7899374053679,130.6525745369165
1031.748344295,145.5237963524954,128.7950892820733,130.6577019715510
1041.289163122,145.5257558234059,128.7999622282741,130.6625894041290
1050.877686043,145.5276031576467,128.8045701380336,130.6672469998476
1060.514151579,145.5293443641309,128.8089262764486,130.6716845291339
1070.198799443,145.5309851536099,128.8130433052870,130.6759113829318
1079.931870545,145.5325309522026,128.8169333077178,130.6799365873999
1089.713607003,145.5339869142506,128.8206078120676,130.6837688178708
1099.544252144,145.5353579347995,128.8240777931966,130.6874164119694
1109.424050510,145.5366486613816,128.8273536690475,130.6908873821484
1119.353247868,145.5378635055706,128.8304453142185,130.6941894279587
1129.332091213,145.5390066538197,128.8333620910855,130.6973299477191
1139.360828774,145.5400820780253,128.8361128902615,130.7003160498762
1149.439710024,145.5410935455546,128.8387061721292,130.7031545637452
1159.568985679,145.5420446288672,128.8411500039562,130.7058520497947
1169.748907713,145.5429387148189,128.8434520906005,130.7084148095258
1179.979729357,145.5437790134259,128.8456197984999,130.7108488948376
1190.261705109,145.5445685663801,128.8476601739987,130.7131601170522
1200.595090740,145.5453102551591,128.8495799573316,130.7153540555234
1210.980143300,145.5460068087312,128.8513855936743,130.7174360659207
1221.417121122,145.5466608110034,128.8530832422269,130.7194112881990
1231.906283833,145.5472747079392,128.8546787843574,130.7212846542778
1242.447892357,145.5478508142904,128.8561778311698,130.7230608954031
1253.042208925,145.5483913200845,128.8575857310586,130.7247445492916
1263.689497075,145.5488982968760,128.8589075773680,130.7263399670080
1274.390021665,145.5493737035698,128.8601482161985,130.7278513195863
1285.144048879,145.5498193921527,128.8613122545617,130.7292826044730
1295.951846229,145.5502371130192,128.8624040686071,130.7306376517321
1306.813682566,145.5506285201569,128.8634278121492,130.7319201300512
1317.729828084,145.5509951760692,128.8643874251867,130.7331335525680
1328.700554330,145.5513385563912,128.8652866424642,130.7342812824957
1339.726134207,145.5516600544097,128.8661290021020,130.7353665385774
1350.806841984,145.5519609853255,128.8669178540028,130.7363924004019
1361.942953299,145.5522425902806,128.8676563682363,130.7373618134932
1373.134745171,145.5525060402485,128.8683475432369,130.7382775943152
1384.382496002,145.5527524396850,128.8689942137412,130.7391424350767
1395.686485588,145.5529828300658,128.8695990585774,130.7399589083638
1407.046995121,145.5531981932178,128.8701646081927,130.7407294717320
1418.464307202,145.5533994544572,128.8706932518912,130.7414564720274
1429.938705844,145.5535874856479,128.8711872448516,130.7421421496476
1441.470476478,145.5537631080873,128.8716487148760,130.7427886427375
1453.059905966,145.5539270952080,128.8720796688185,130.7433979910538
1464.707282601,145.5540801751564,128.8724819988267,130.7439721399340
1476.412896120,145.5542230333131,128.8728574882890,130.7445129439917
1488.177037706,145.5543563145926,128.8732078174661,130.7450221707498
1500.000000000,145.5544806256985,128.8735345689638,130.7455015041620
