time,LAKE1,LAKE2
384.9255967119,116.8177509,111.6531322
391.2323018009,116.8235657,111.6618867
397.5705404154,116.8292532,111.6704863
403.9404702229,116.8348132,111.6789286
410.3422496795,116.8402449,111.6872113
416.7760380333,116.8455476,111.6953315
423.2419953290,116.8507199,111.7032863
429.7402824111,116.8557609,111.7110731
436.2710609286,116.8606698,111.7186892
442.8344933387,116.8654465,111.7261321
449.4307429109,116.8700908,111.7333999
456.0599737309,116.8746029,111.7404908
462.7223507050,116.8789829,111.7474029
469.4180395640,116.8832313,111.7541350
476.1472068673,116.8873494,111.7606861
482.9100200071,116.8913381,111.7670559
489.7066472126,116.8951987,111.7732443
496.5372575541,116.8989325,111.7792517
503.4020209474,116.9025409,111.7850783
510.3011081576,116.9060255,111.7907252
517.2346908038,116.9093880,111.7961935
524.2029413633,116.9126303,111.8014847
531.2060331756,116.9157549,111.8066007
538.2441404469,116.9187642,111.8115440
545.3174382546,116.9216605,111.8163171
552.4261025514,116.9244464,111.8209230
559.5703101696,116.9271247,111.8253648
566.7502388259,116.9296980,111.8296459
573.9660671255,116.9321695,111.8337699
581.2179745666,116.9345418,111.8377406
588.5061415449,116.9368178,111.8415617
595.8307493581,116.9390004,111.8452371
603.1919802103,116.9410926,111.8487706
610.5900172168,116.9430974,111.8521661
618.0250444084,116.9450177,111.8554275
625.4972467359,116.9468566,111.8585588
633.0068100750,116.9486168,111.8615637
640.5539212309,116.9503010,111.8644463
648.1387679425,116.9519121,111.8672105
655.7615388877,116.9534528,111.8698602
663.4224236876,116.9549258,111.8723994
671.1216129115,116.9563335,111.8748318
678.8592980815,116.9576782,111.8771610
686.6356716774,116.9589622,111.8793904
694.4509271412,116.9601877,111.8815234
702.3052588824,116.9613571,111.8835636
710.1988622823,116.9624726,111.8855143
718.1319336991,116.9635364,111.8873789
726.1046704731,116.9645509,111.8891607
734.1172709309,116.9655180,111.8908627
742.1699343911,116.9664398,111.8924882
750.2628611685,116.9673183,111.8940402
758.3962525798,116.9681554,111.8955216
766.5703109482,116.9689528,111.8969350
774.7852396084,116.9697124,111.8982831
783.0412429119,116.9704357,111.8995684
791.3385262319,116.9711245,111.9007933
799.6772959685,116.9717801,111.9019604
808.0577595538,116.9724042,111.9030722
816.4801254571,116.9729981,111.9041310
824.9446031898,116.9735632,111.9051392
833.4514033112,116.9741008,111.9060989
842.0007374332,116.9746120,111.9070123
850.5928182259,116.9750982,111.9078816
859.2278594225,116.9755604,111.9087086
867.9060758250,116.9759997,111.9094953
876.6276833096,116.9764173,111.9102434
885.3928988316,116.9768140,111.9109548
894.2019404313,116.9771909,111.9116311
903.0550272389,116.9775488,111.9122739
911.9523794805,116.9778887,111.9128848
920.8942184834,116.9782114,111.9134651
929.8807666813,116.9785176,111.9140163
938.9122476202,116.9788083,111.9145398
947.9888859637,116.9790840,111.9150368
957.1109074990,116.9793456,111.9155086
966.2785391420,116.9795936,111.9159563
975.4920089432,116.9798288,111.9163810
984.7515460933,116.9800517,111.9167839
994.0573809293,116.9802630,111.9171660
1003.409744939,116.9804632,111.9175283
1012.808870770,116.9806528,111.9178717
1022.254992229,116.9808323,111.9181971
1031.748344295,116.9810024,111.9185054
1041.289163122,116.9811633,111.9187974
1050.877686043,116.9813156,111.9190739
1060.514151579,116.9814597,111.9193357
1070.198799443,116.9815960,111.9195835
1079.931870545,116.9817250,111.9198180
1089.713607003,116.9818468,111.9200398
1099.544252144,116.9819621,111.9202496
1109.424050510,116.9820709,111.9204479
1119.353247868,116.9821738,111.9206353
1129.332091213,116.9822709,111.9208122
1139.360828774,116.9823627,111.9209793
1149.439710024,116.9824493,111.9211370
1159.568985679,116.9825310,111.9212858
1169.748907713,116.9826081,111.9214262
1179.979729357,116.9826809,111.9215586
1190.261705109,116.9827495,111.9216834
1200.595090740,116.9828142,111.9218011
1210.980143300,116.9828752,111.9219120
1221.417121122,116.9829326,111.9220166
1231.906283833,116.9829868,111.9221150
1242.447892357,116.9830377,111.9222077
1253.042208925,116.9830857,111.9222950
1263.689497075,116.9831309,111.9223772
1274.390021665,116.9831734,111.9224545
1285.144048879,116.9832134,111.9225272
1295.951846229,116.9832510,111.9225956
1306.813682566,116.9832864,111.9226600
1317.729828084,116.9833196,111.9227204
1328.700554330,116.9833508,111.9227772
1339.726134207,116.9833802,111.9228306
1350.806841984,116.9834077,111.9228807
1361.942953299,116.9834336,111.9229278
1373.134745171,116.9834579,111.9229720
1384.382496002,116.9834807,111.9230134
1395.686485588,116.9835020,111.9230523
1407.046995121,116.9835221,111.9230888
1418.464307202,116.9835409,111.9231230
1429.938705844,116.9835585,111.9231551
1441.470476478,116.9835750,111.9231851
1453.059905966,116.9835904,111.9232132
1464.707282601,116.9836049,111.9232396
1476.412896120,116.9836184,111.9232642
1488.177037706,116.9836311,111.9232873
1500.000000000,116.9836429,111.9233089
