,b0,b1,b2,a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10
31,0,4,7,31,"(0, 4, 7)",1,131,0.1,1e-06,0.1,0.3,0.11,3.5,uzfcells
32,0,4,8,32,"(0, 4, 8)",1,132,0.1,1e-06,0.1,0.3,0.11,3.5,uzfcells
33,0,4,9,33,"(0, 4, 9)",1,133,0.1,1e-06,0.1,0.3,0.11,3.5,uzfcells
34,0,5,0,34,"(0, 5, 0)",1,134,0.1,1e-06,0.2,0.3,0.21,3.5,uzfcells
35,0,5,1,35,"(0, 5, 1)",1,135,0.1,1e-06,0.2,0.3,0.21,3.5,uzfcells
36,0,5,2,36,"(0, 5, 2)",1,136,0.1,1e-06,0.2,0.3,0.21,3.5,uzfcells
37,0,5,3,37,"(0, 5, 3)",1,137,0.1,1e-06,0.1,0.3,0.11,3.5,ag
38,0,5,4,38,"(0, 5, 4)",1,138,0.1,1e-06,0.1,0.3,0.11,3.5,ag
39,0,5,5,39,"(0, 5, 5)",1,139,0.1,1e-06,0.1,0.3,0.11,3.5,uzfcells
40,0,5,6,40,"(0, 5, 6)",1,140,0.1,1e-06,0.1,0.3,0.11,3.5,uzfcells
41,0,5,7,41,"(0, 5, 7)",1,141,0.1,1e-06,0.1,0.3,0.11,3.5,uzfcells
42,0,5,8,42,"(0, 5, 8)",1,142,0.1,1e-06,0.2,0.3,0.21,3.5,uzfcells
43,0,5,9,43,"(0, 5, 9)",1,143,0.1,1e-06,0.2,0.3,0.21,3.5,uzfcells
44,0,6,0,44,"(0, 6, 0)",1,144,0.1,1e-06,0.2,0.3,0.21,3.5,uzfcells
45,0,6,1,45,"(0, 6, 1)",1,145,0.1,1e-06,0.2,0.3,0.21,3.5,uzfcells
46,0,6,2,46,"(0, 6, 2)",1,146,0.1,1e-06,0.2,0.3,0.21,3.5,uzfcells
47,0,6,3,47,"(0, 6, 3)",1,147,0.1,1e-06,0.1,0.3,0.11,3.5,ag
48,0,6,4,48,"(0, 6, 4)",1,148,0.1,1e-06,0.1,0.3,0.11,3.5,ag
49,0,6,5,49,"(0, 6, 5)",1,149,0.1,1e-06,0.1,0.3,0.11,3.5,uzfcells
50,0,6,6,50,"(0, 6, 6)",1,150,0.1,1e-06,0.1,0.3,0.11,3.5,uzfcells
51,0,6,7,51,"(0, 6, 7)",1,151,0.1,1e-06,0.1,0.3,0.11,3.5,uzfcells
52,0,6,8,52,"(0, 6, 8)",1,152,0.1,1e-06,0.2,0.3,0.21,3.5,uzfcells
53,0,7,1,53,"(0, 7, 1)",1,153,0.1,1e-06,0.2,0.3,0.21,3.5,uzfcells
54,0,7,2,54,"(0, 7, 2)",1,154,0.1,1e-06,0.2,0.3,0.21,3.5,uzfcells
55,0,7,3,55,"(0, 7, 3)",1,155,0.1,1e-06,0.1,0.3,0.11,3.5,ag
56,0,7,4,56,"(0, 7, 4)",1,156,0.1,1e-06,0.1,0.3,0.11,3.5,ag
57,0,7,5,57,"(0, 7, 5)",1,157,0.1,1e-06,0.1,0.3,0.11,3.5,uzfcells
58,0,7,6,58,"(0, 7, 6)",1,158,0.1,1e-06,0.1,0.3,0.11,3.5,uzfcells
59,0,7,7,59,"(0, 7, 7)",1,159,0.1,1e-06,0.2,0.3,0.21,3.5,uzfcells
60,0,7,8,60,"(0, 7, 8)",1,160,0.1,1e-06,0.2,0.3,0.21,3.5,uzfcells
61,0,8,1,61,"(0, 8, 1)",1,161,0.1,1e-06,0.2,0.3,0.21,3.5,uzfcells
62,0,8,2,62,"(0, 8, 2)",1,162,0.1,1e-06,0.2,0.3,0.21,3.5,uzfcells
