time,INFLOW-EXT,INFLOW,OUTFLOW,STAGE,DEPTH
17400.00000000,480.2638628100000,481.7596290182402,-481.8477114789922,51.92896965356348,5.903108259695076
17700.00000000,494.9008601700000,492.7781738108984,-492.7404886595333,52.00915388133791,5.984221259937377
18000.00000000,509.7000000000000,504.0251299578492,-503.8632118626322,52.09028317324887,6.066251308632972
18300.00000000,524.4991398300000,515.3761289727533,-515.0928749543039,52.17145040444290,6.148282257859855
18600.00000000,539.1361371900000,526.7046336468495,-526.3042445331013,52.25176452148873,6.229415100021307
18900.00000000,553.4506260600000,537.8834617118092,-537.3713710988812,52.33035981025439,6.308777213927311
19200.00000000,567.2857739300000,548.7863428325550,-548.1691353794500,52.40640419693679,6.385530620047217
19500.00000000,580.4900000000000,559.2894824038922,-558.5748031978767,52.47910659435915,6.458879264720175
19800.00000000,592.9186360200000,569.2731067461144,-568.4695633450413,52.54772333401493,6.528075380454985
20100.00000000,604.4355112500000,578.6229650242836,-577.7400236385755,52.61156373774063,6.592424981635242
20400.00000000,614.9144443900000,587.2317651648177,-586.2796422869851,52.66999489493622,6.651292565849599
20700.00000000,624.2406260600000,595.0005226333518,-593.9900732738661,52.72244571316488,6.704105091895525
21000.00000000,632.3118766699999,601.8398029541321,-600.7824065025412,52.76841030926612,6.750355303894008
21300.00000000,639.0397658900000,607.6707243575780,-606.5781483788445,52.80744995363501,6.789603746166353
21600.00000000,644.3505815800000,612.4264189077926,-611.3107669248045,52.83919882913990,6.821483933336711
21900.00000000,648.1861373100000,616.0521231183943,-614.9256519314026,52.86336039340813,6.845699497582884
22200.00000000,650.5044099500000,618.5063530275996,-617.3813797771304,52.87971239575958,6.862028604886815
22500.00000000,651.2800000000000,619.7612757106331,-618.6500633792103,52.88810684059627,6.870324037538149
22800.00000000,650.5044099500000,619.8030329845575,-618.7176774093516,52.88847049509730,6.870513686121996
23100.00000000,648.1861373100000,618.6318892333901,-617.5842083618965,52.88080504587165,6.862600697244547
23400.00000000,644.3505815800000,616.2618490022436,-615.2632288384784,52.86518440746860,6.846661077438275
23700.00000000,639.0397658900000,612.7223635073566,-611.7838549371578,52.84176777018496,6.822855152249338
24000.00000000,632.3118766699999,608.0535977347483,-607.1854658224111,52.81076786070524,6.791399396111882
24300.00000000,624.2406260600000,602.3110750644703,-601.5229957516673,52.77248648568202,6.752597842186571
24600.00000000,614.9144443900000,595.5615074107274,-594.8623545212724,52.72728844026689,6.706818700343837
24900.00000000,604.4355112500000,587.8831301907877,-587.2809058013922,52.67560792385543,6.654499909614834
25200.00000000,592.9186360200000,579.3645244849764,-578.8662763580005,52.61794482274532,6.596145581118720
25500.00000000,580.4900000000000,570.1034865017816,-569.7152318564508,52.55486173035620,6.532323060641463
25800.00000000,567.2857739300000,560.2057858074437,-559.9324418826715,52.48698043150218,6.463659458836133
26100.00000000,553.4506260600000,549.7836875016480,-549.6289844866799,52.41497671909574,6.390836679425358
26400.00000000,539.1361371900000,538.9551241325794,-538.9216252827666,52.33958004375282,6.314590462237591
26700.00000000,524.4991398300000,527.8414111269111,-527.9303990055497,52.26156187787572,6.235699722150915
27000.00000000,509.7000000000000,516.5663049948639,-516.7777705247089,52.18173368801362,6.154983940627717
27300.00000000,494.9008601700000,505.2543910871207,-505.5870117374151,52.10093912993567,6.073295514773038
27600.00000000,480.2638628100000,494.0296208611973,-494.4807513210037,52.02004642586455,5.991512121142419
27900.00000000,465.9493739400000,483.0138928105848,-483.5795691937640,51.93993993551705,5.910528245661682
28200.00000000,452.1142260700000,472.3257000123443,-473.0006585953475,51.86151093115689,5.831245883707112
28500.00000000,438.9100000000000,462.0788658565866,-462.8565772515285,51.78564761972858,5.754564447780957
28800.00000000,426.4813639800000,452.3813865403649,-453.2541060517900,51.71322448975619,5.681369956017172
29100.00000000,414.9644887500000,443.3343957086690,-444.2932303960488,51.64509110618433,5.612523622375012
29400.00000000,404.4855556100000,435.0312614839235,-436.0662541631046,51.58206051775225,5.548850013749191
29700.00000000,395.1593739400000,427.5568206134915,-428.6570506753989,51.52489748615987,5.491124987739193
30000.00000000,387.0881233300000,420.9867480480524,-422.1404485653552,51.47430678446909,5.440063667608858
30300.00000000,380.3602341100000,415.3870537368898,-416.5817438838175,51.43092184268492,5.396308745603544
30600.00000000,375.0494184200000,410.8136923598231,-412.0363237086032,51.39529403685317,5.360419429493663
30900.00000000,371.2138626900000,407.3124466059269,-408.5495908085796,51.36788445176900,5.332862665744117
31200.00000000,368.8955900500000,404.9179601900461,-406.1558842459070,51.34904904362213,5.313998924073516
31500.00000000,368.1200000000000,403.6547207234457,-404.8796584322650,51.33904145133459,5.304083398370984
31800.00000000,368.8955900500000,403.5361310261069,-404.7344283732945,51.33800106298804,5.303254900299045
32100.00000000,371.2138626900000,404.5646009478574,-405.7228954694191,51.34595152379597,5.311534087416363
32400.00000000,375.0494184200000,406.7319832683884,-407.8374431289558,51.36280404982573,5.328826374757170
32700.00000000,380.3602341100000,410.0165353971760,-411.0567428130007,51.38833383240515,5.354901134204347
33000.00000000,387.0881233300000,414.3898057127100,-415.3534360366729,51.42224088816749,5.389446738648097
33300.00000000,395.1593739400000,419.8081417158668,-420.6846458426669,51.46408476051693,5.432012998873835
33600.00000000,404.4855556100000,426.2186879709418,-426.9986291250618,51.51334081313733,5.482062778415056
33900.00000000,414.9644887500000,433.5574720020003,-434.2326033736666,51.56939173853679,5.538965716205166
34200.00000000,426.4813639800000,441.7500884146105,-442.3134465081194,51.63154092890912,5.602011720848225
34500.00000000,438.9100000000000,450.7122123732304,-451.1581895463232,51.69902427407976,5.670423134995959
34800.00000000,452.1142260700000,460.3504525126285,-460.6748787876618,51.77102411113586,5.743368794318259
35100.00000000,465.9493739400000,470.5624664622276,-470.7625490458599,51.84667617111248,5.819972104208747
35400.00000000,480.2638628100000,481.2390101752404,-481.3134302536299,51.92509095863436,5.899331372563503
35700.00000000,494.9008601700000,492.2643886849803,-492.2132631487708,52.00536055482244,5.980527590787851
36000.00000000,509.7000000000000,503.5178928641391,-503.3427462149170,52.08657183650317,6.062637553411760
36300.00000000,524.4991398300000,514.8751782308727,-514.5788982907458,52.16781756836508,6.144745001679622
36600.00000000,539.1361371900000,526.2097291247143,-525.7965083891362,52.24820661564481,6.225950846650662
36900.00000000,553.4506260600000,537.3943826054092,-536.8696471095068,52.32687321067699,6.305382413776799
37200.00000000,567.2857739300000,548.3028856778949,-547.6732132049158,52.40298525186898,6.382201695953399
37500.00000000,580.4900000000000,558.8114593104332,-558.0844886794300,52.47575164747665,6.455612635092231
37800.00000000,592.9186360200000,568.8003438363911,-567.9846768752991,52.54442874488424,6.524867479571426
38100.00000000,604.4355112500000,578.1553010616124,-577.2603987280670,52.60832589945153,6.589272277056146
38400.00000000,614.9144443900000,586.7690503496865,-585.8051243068871,52.66681024898700,6.648191573045529
38700.00000000,624.2406260600000,594.5426175488935,-593.5205183546476,52.71931076177958,6.701052386290863
39000.00000000,632.3118766699999,601.3865776416583,-600.3176805687363,52.76532162539189,6.747347530586632
39300.00000000,639.0397658900000,607.2220571029840,-606.1181258224470,52.80440418570431,6.786637624952301
39600.00000000,644.3505815800000,611.9821967498860,-610.8553313196677,52.83619271713454,6.818556272879586
39900.00000000,648.1861373100000,615.6122399633763,-614.4746938788298,52.86039076366702,6.842807191653878
40200.00000000,650.5044099500000,618.0707095033473,-616.9347968182839,52.87677616815621,6.859168638748316
40500.00000000,651.2800000000000,619.3297786545139,-618.2077594616889,52.88520103153341,6.867493490731796
40800.00000000,650.5044099500000,619.3755949677050,-618.2795623913916,52.88559221995105,6.867709734729375
41100.00000000,648.1861373100000,618.2084281226981,-617.1501975561088,52.87795152123895,6.859820615965041
41400.00000000,644.3505815800000,615.8422783238625,-614.8332321893183,52.86235288737117,6.843902183274547
41700.00000000,639.0397658900000,612.3099998868156,-611.3613895266191,52.83897900727825,6.820136888219668
42000.00000000,632.3118766699999,607.6416372751826,-606.7633251727451,52.80797304704046,6.788675694540746
42300.00000000,624.2406260600000,601.9028051615195,-601.1046637315904,52.76970633310740,6.749888126503134
42600.00000000,614.9144443900000,595.1568670927517,-594.4477682031852,52.72452071855776,6.704120782983372
42900.00000000,604.4355112500000,587.4820611487307,-586.8700049518305,52.67285052383765,6.651811720908128
43200.00000000,592.9186360200000,578.9669707355508,-578.4590030889422,52.61519576355571,6.593465176447651
43500.00000000,580.4900000000000,569.7093939859884,-569.3115302066196,52.55211916763506,6.529648628581010
43800.00000000,567.2857739300000,559.8151019488849,-559.5322573562295,52.48424266676630,6.460989330518517
44100.00000000,553.4506260600000,549.3963609619734,-549.2322638212082,52.41224221177097,6.388169340436530
44400.00000000,539.1361371900000,538.5711035636886,-538.5283150721444,52.33684741838904,6.311924560471083
44700.00000000,524.4991398300000,527.4606453420515,-527.5404459527380,52.25882994144643,6.233034084701790
45000.00000000,509.7000000000000,516.1887421404033,-516.3911205514239,52.17900144193341,6.152317586222125
45300.00000000,494.9008601700000,504.8799780376793,-505.2036093531308,52.09820578407698,6.070627668076168
45600.00000000,480.2638628100000,493.6583026073238,-494.1005389851515,52.01731141258002,5.988842227143582
45900.00000000,465.9493739400000,482.6456118562554,-483.2024866893693,51.93720292308528,5.907855983549829
46200.00000000,452.1142260700000,471.9603958048630,-472.6266424378011,51.85877183594995,5.828571179523889
46500.00000000,438.9100000000000,461.7164742768260,-462.4855601616856,51.78290661629594,5.751887485026344
46800.00000000,426.4813639800000,452.0218394865179,-452.8860165279027,51.71048201794613,5.678691183300400
47100.00000000,414.9644887500000,442.9776208093734,-443.9279924217533,51.64234787438563,5.609843757156416
47400.00000000,404.4855556100000,434.6771819792353,-435.7037870912007,51.57931750137285,5.546170041246254
47700.00000000,395.1593739400000,427.2053554390720,-428.2972693238705,51.52215592054393,5.488446154151875
48000.00000000,387.0881233300000,420.6378121522201,-421.7832635560521,51.47156815162472,5.437387466990356
48300.00000000,380.3602341100000,415.0405586496650,-416.2270622432704,51.42818785143618,5.393636899959239
48600.00000000,375.0494184200000,410.4695470171299,-411.6840497339678,51.39256659633598,5.357753862002128
48900.00000000,371.2138626900000,406.9705580985488,-408.1996268268952,51.36516563642325,5.330205465480671
49200.00000000,368.8955900500000,404.5782359584838,-405.8081329860856,51.34634106069070,5.311352312204781
49500.00000000,368.1200000000000,403.3170690609749,-404.5340234781687,51.33634659163253,5.301449678695145
49800.00000000,368.8955900500000,403.2004628673109,-404.3908160580515,51.33532165614464,5.300636413423685
50100.00000000,371.2138626900000,404.2308313441754,-405.3812164199682,51.34328988984462,5.308933161497920
50400.00000000,375.0494184200000,406.4000234008102,-407.4976033758050,51.36016237483570,5.326245207559178
50700.00000000,380.3602341100000,409.6863216499905,-410.7186757852700,51.38571434609899,5.352341949338673
51000.00000000,387.0881233300000,414.0612828239127,-415.0170840187466,51.41964568543844,5.386911618631001
51300.00000000,395.1593739400000,419.4812434603097,-420.3499384899871,51.46151558846425,5.429503690124431
51600.00000000,404.4855556100000,425.8933664169371,-426.6655158314550,51.51079928332948,5.479580880002628
51900.00000000,414.9644887500000,433.2336880703964,-433.9010428419728,51.56687922395085,5.536512585056721
52200.00000000,426.4813639800000,441.4278116937372,-441.9834065720115,51.62905854812784,5.599588456704521
52500.00000000,438.9100000000000,450.3914207050784,-450.8296467518041,51.69657288318392,5.668030573193574
52800.00000000,452.1142260700000,460.0311317744797,-460.3478182267477,51.76860430628762,5.741007508778970
53100.00000000,465.9493739400000,470.2446086644568,-470.4369622248601,51.84428828320514,5.817642404687677
53400.00000000,480.2638628100000,480.9226138204071,-480.9893156255359,51.92273507492274,5.897033325500232
53700.00000000,494.9008601700000,491.9494575198257,-491.8906247597656,52.00303653030142,5.978261032005077
54000.00000000,509.7000000000000,503.2044350295993,-503.0215928142471,52.08427931200347,6.060402106840595
54300.00000000,524.4991398300000,514.5632054464052,-514.2592424736645,52.16555599064518,6.142540099929156
54600.00000000,539.1361371900000,525.8992559294189,-525.4783657969515,52.24597525850560,6.223775752448548
54900.00000000,553.4506260600000,537.0854256706708,-536.5530357027050,52.32467119627697,6.303236241467975
55200.00000000,567.2857739300000,547.9954631995919,-547.3581526183306,52.40081157158269,6.380083432415782
55500.00000000,580.4900000000000,558.5055904833539,-557.7709996627206,52.47360518180299,6.453521159595670
55800.00000000,592.9186360200000,568.4960484093416,-567.6727808175820,52.54230828206335,6.522801582259442
56100.00000000,604.4355112500000,577.8525989687510,-576.9501172623700,52.60623015258174,6.587230675862017
56400.00000000,614.9144443900000,586.4679614116328,-585.4964789879335,52.66473787154405,6.646172928963320
56700.00000000,624.2406260600000,594.2431612360363,-593.2135304022208,52.71726036152893,6.699055317008093
57000.00000000,632.3118766699999,601.0887728915309,-600.0123706682282,52.76329177675237,6.745370622549899
57300.00000000,639.0397658900000,606.9259220028596,-605.8145137579767,52.80239343917169,6.784679442737971
57600.00000000,644.3505815800000,611.6877489871107,-610.5534365207291,52.83419961348219,6.816615372313901
57900.00000000,648.1861373100000,615.3194961995390,-614.1745346752589,52.85841383776847,6.840882124124395
58200.00000000,650.5044099500000,617.7796855172438,-616.6363906124317,52.87481395809584,6.857257959754500
58500.00000000,651.2800000000000,619.0404893150265,-617.9111226948708,52.88325208536671,6.865595766364066
58800.00000000,650.5044099500000,619.0880542144782,-617.9847105187872,52.88365510184644,6.865823547544592
59100.00000000,648.1861373100000,617.9226489539740,-616.8571450296471,52.87602481721807,6.857944570472450
59400.00000000,644.3505815800000,615.5582682936424,-614.5419873991336,52.86043517854885,6.842034882569313
59700.00000000,639.0397658900000,612.0276740243069,-611.0718624978244,52.83706828216000,6.818276380686791
60000.00000000,632.3118766699999,607.3612107609075,-606.4757465666888,52.80606939886934,6.786821996451732
60300.00000000,624.2406260600000,601.6241825397420,-600.8189318895164,52.76780777189101,6.748039313257212
60600.00000000,614.9144443900000,594.8800562890419,-594.1638921194465,52.72262602271734,6.702275648663594
60900.00000000,604.4355112500000,587.2070689247246,-586.5879923631030,52.67095852858709,6.649969115251558
61200.00000000,592.9186360200000,578.6938025856407,-578.1788603627426,52.61330536810547,6.591624011901896
