,Analitical_no_1L,A_2_Likage
184,-75.569093651054,-47.146665034830846
185,-65.04839140419637,-39.74500414058821
186,-53.81527398986941,-31.908052793043794
187,-41.992767405352026,-23.721641908015158
188,-29.71035268509445,-15.275429710029528
189,-17.102547814107254,-6.661919788301191
190,-4.307434476267929,2.0245520099497867
191,8.534854227288577,10.688850753217196
192,21.28366852706023,19.236084351059333
193,33.799382392666246,27.572642819838222
194,45.94492272826136,35.60722350672228
195,57.587270608005554,43.251831043616505
196,68.59891810994299,50.42274107944792
197,78.85926479292806,57.04141723593301
198,88.25593852226694,63.03537124425094
199,96.68602617829544,68.3389568423425
200,104.05720076906806,72.894088738005
201,110.28873260293261,76.65087876364117
202,115.31237344654772,79.56818225544765
203,119.07310398497526,81.61404867305288
204,121.52973639760165,82.76607152438152
205,122.65536545043307,83.01163376334131
206,122.4376631643625,82.34804597271835
207,120.8790138321794,80.782575818888
208,117.99648790560485,78.33236845575397
209,113.82165503834455,75.02425874965598
210,108.40023833272352,70.8944773817745
211,101.79161357662684,65.98825404682299
212,94.06815895513688,60.35932209382639
213,85.31446235888114,54.069330034198686
214,75.62639497071262,47.18716636233336
215,65.11006127687364,39.788205083321316
216,53.880637002203514,31.953480210838904
217,42.06110769642231,23.768798276171935
218,29.780921786586475,15.323798568245422
219,17.17457284759604,6.710971396985485
220,4.380126617845406,-1.975354867925489
221,-8.46229110774999,-10.640046888873087
222,-21.212029146630186,-19.18820826820803
223,-33.72945135154964,-27.526218861155428
224,-45.877465916794165,-35.562760111103614
225,-57.52302681856327,-43.20981517771446
226,-68.53859094562904,-50.38363290437536
227,-78.80351496165412,-57.00564506754023
228,-88.20537660062854,-63.003326862177346
229,-96.64120592448893,-68.3109911992151
230,-104.01861305808552,-72.87050811577615
231,-110.25680005046013,-76.63194141916489
232,-115.2874457804457,-79.55409559203036
233,-119.05545421502944,-81.60496696895513
234,-121.5195578254993,-82.76209424315027
235,-122.6527695527073,-83.01280446447777
236,-122.44267837149204,-82.35435183461033
237,-120.891585217216,-80.79394777923346
238,-118.0164777857376,-78.34868196793673
239,-113.8488444828127,-75.04533514679025
240,-108.43432956056427,-70.92008583347894
241,-101.83223321799579,-66.01811408729367
242,-94.11486214048364,-60.3931066935196
243,-85.36673759119736,-54.10666918148587
244,-75.68366972748771,-47.22765111589746
245,-65.17170828040543,-39.831392050914076
246,-53.94598108959599,-31.998896405349
247,-42.12943321402247,-23.81594629581741
248,-29.851480427878585,-15.372162044156596
249,-17.24659184871723,-6.7600206485195145
250,-4.452817220955353,1.9261570320807095
251,8.389725015931447,10.591239287337714
252,21.14038231572414,19.140325445724045
253,33.65950846335858,27.479785234210965
254,45.80999299140484,35.51828422448244
255,57.45876282483306,43.16778413487208
256,68.47823970793883,50.34450703264264
257,78.74773745156978,56.969852876583275
258,88.15478369788678,62.971260350924524
259,96.59635172659279,68.28300156265351
260,103.97998881178529,72.84690189863608
261,110.22482877158046,76.61297715861843
262,115.26247762098086,79.5399809861704
263,119.0377626282521,81.59585660207
264,121.50933657107811,82.75808789270451
265,122.65013057463517,83.01394600834061
266,122.44765057206729,82.3606287705025
267,120.90411414050158,80.80529136165268
268,118.0364262139671,78.36496796106411
269,113.87599393921022,75.0663851851312
270,108.4683827021193,70.94566937533563
271,101.87281709198732,66.04795093967624
272,94.16153226908949,60.42687008084289
273,85.41898283944892,54.14398932444061
274,75.74091790126141,47.268119281303086
275,65.23333239313973,39.87456502819788
276,54.011306229095965,32.044301360622455
277,42.19774393415304,23.86308595039094
278,29.922028584188467,15.420520120776189
279,17.31860479217579,6.809067525675857
280,4.525506260065015,-1.8769585196960747
281,-8.317155977320454,-10.542427965753689
282,-21.06872805950644,-19.09243590042496
283,-33.58955375266049,-27.43334195531463
284,-45.742503975793454,-35.47379586248081
285,-57.3944786493862,-43.12573792985171
286,-68.41786441807068,-50.30536347799273
287,-78.69193228226698,-56.934040675634094
288,-88.10415983181122,-62.9391717217552
